extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
1	ACM T1002K0190C	1PH 2.0KVA 240X480-120/2 40		1PH 2.0KVA 240X480-120/2	40		1003904		911a2a90-25b0-cf93-e814-40a5108a77ac
2	ACM T1005K0194C	1PH 5.0KVA 240X480-120/2 40		1PH 5.0KVA 240X480-120/2	40		1003898		911a2a90-25b0-cf93-e814-40a5203490ac
3	ACM T1005K0220C	1PH 5.0KVA		1PH 5.0KVA			1003906		911a2a90-25b0-cf93-e814-40a580a7a8ac
4	ACM T1010K0193C	1PH 10KVA 240X480-120/24 0		1PH 10KVA 240X480-120/24	0		1003905		911a2a90-25b0-cf93-e814-40a53016c1ac
5	ACM T113074	SINGLE PHASE, 120x240-16 /32V 1.5KVA		SINGLE PHASE, 120x240-16	/32V 1.5KVA		979759		911a2a90-25b0-cf93-e814-40a5a08bdbac
6	ACM T2530144S	5KVA 1PH 240X480-120/240 ENCP 3R		5KVA 1PH 240X480-120/240	ENCP 3R		556407		911a2a90-25b0-cf93-e814-40a5b0a50bad
7	ACM T2535153S	7.5KVA 1PH 240X480-120/2 40 ENCP 3		7.5KVA 1PH 240X480-120/2	40 ENCP 3		556411		911a2a90-25b0-cf93-e814-40a558a324ad
8	ACM T2535163S	10KVA 1PH 240X480-120/24 0 ENCP 3R		10KVA 1PH 240X480-120/24	0 ENCP 3R		556413		911a2a90-25b0-cf93-e814-40a5a07e3dad
9	ACM T279743S	3KVA TRANSFORMER		3KVA TRANSFORMER			146461		911a2a90-25b0-cf93-e814-40a5f09256ad
10	ACM T279744S	XFMR 1PH 5.0kVA ENCP		XFMR 1PH 5.0kVA ENCP			290989		911a2a90-25b0-cf93-e814-40a5082b6fad
11	ACM T2A533101S	9KVA TRANSFORMER		9KVA TRANSFORMER			146462		911a2a90-25b0-cf93-e814-40a580e587ad
12	ACM TP-53019-3S	(940A43504) TRANSFORMER		(940A43504) TRANSFORMER			281723		911a2a90-25b0-cf93-e814-40a518a3a0ad
