extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
1	GIL 120/BK/2X	BLACK CREWNECK SWEATSHIR T (12000)		BLACK CREWNECK SWEATSHIR	T (12000)		763330		911a2a90-25b0-cf93-e814-48a5a8d4f0fc
2	GIL 120/BK/L	BLACK CREWNECK SWEATSHIR T (12000)		BLACK CREWNECK SWEATSHIR	T (12000)		763328		911a2a90-25b0-cf93-e814-48a568f40bfd
3	GIL 120/BK/M	BLACK CREWNECK SWEATSHIR T (12000)		BLACK CREWNECK SWEATSHIR	T (12000)		232484		911a2a90-25b0-cf93-e814-48a5785324fd
4	GIL 120/BK/S	BLACK CREWNECK SWEATSHIR T		BLACK CREWNECK SWEATSHIR	T		763327		911a2a90-25b0-cf93-e814-48a5a8513cfd
5	GIL 120/BK/XL	BLACK CREWNECK SWEATSHIR T (12000)		BLACK CREWNECK SWEATSHIR	T (12000)		763329		911a2a90-25b0-cf93-e814-48a5984954fd
6	GIL 120/FG/L	FOREST GREEN SWEATSHIRT		FOREST GREEN SWEATSHIRT			541409		911a2a90-25b0-cf93-e814-48a560ae6dfd
7	GIL 120/FG/M	FOREST GREEN CREWNECK SW EATSHIRT		FOREST GREEN CREWNECK SW	EATSHIRT		763324		911a2a90-25b0-cf93-e814-48a5988888fd
8	GIL 120/FG/S	FOREST GREEN CREWNECK SW EATSHIRT		FOREST GREEN CREWNECK SW	EATSHIRT		763323		911a2a90-25b0-cf93-e814-48a578aba3fd
9	GIL 120/FG/XL	FOREST GREEN CREWNECK SW EATSHIRT		FOREST GREEN CREWNECK SW	EATSHIRT		763325		911a2a90-25b0-cf93-e814-48a5d8c1befd
10	GIL 120/NV/2X	NAVY CREWNECK SWEATSHIRT (12000)		NAVY CREWNECK SWEATSHIRT	(12000)		513240		911a2a90-25b0-cf93-e814-48a598e1d9fd
11	GIL 120/NV/M	NAVY CREWNECK SWEATSHIRT (12000)		NAVY CREWNECK SWEATSHIRT	(12000)		806760		911a2a90-25b0-cf93-e814-48a520e9f4fd
12	GIL 120/SF/M	SAFETY GREEN SWEATSHIRT		SAFETY GREEN SWEATSHIRT			261375		911a2a90-25b0-cf93-e814-48a530b90ffe
13	GIL 12000/AS/XL	ASH SWEATSHIRT		ASH SWEATSHIRT			1119225		911a2a90-25b0-cf93-e814-48a5184d2afe
14	GIL 12000/BK/2X	BLACK CREWNECK SWEATSHIR T		BLACK CREWNECK SWEATSHIR	T		783114		911a2a90-25b0-cf93-e814-48a5901445fe
15	GIL 12000/BK/3X	BLACK CREWNECK SWEATSHIR T		BLACK CREWNECK SWEATSHIR	T		976286		911a2a90-25b0-cf93-e814-48a598925ffe
16	GIL 12000/BK/L	BLACK CREWNECK SWEATSHIR T		BLACK CREWNECK SWEATSHIR	T		783111		911a2a90-25b0-cf93-e814-48a5f85d7afe
17	GIL 12000/BK/M	BLACK CREWNECK SWEATSHIR T		BLACK CREWNECK SWEATSHIR	T		783108		911a2a90-25b0-cf93-e814-48a560fe94fe
18	GIL 12000/BK/XL	BLACK CREWNECK SWEATSHIR T		BLACK CREWNECK SWEATSHIR	T		783112		911a2a90-25b0-cf93-e814-48a50828affe
19	GIL 12000/CH/L	CHARCOAL SWEATSHIRT		CHARCOAL SWEATSHIRT			557528		911a2a90-25b0-cf93-e814-48a5282bc8fe
20	GIL 12000/CH/XL	CHARCOAL SWEATSHIRT		CHARCOAL SWEATSHIRT			557529		911a2a90-25b0-cf93-e814-48a5a837e1fe
21	GIL 12000/GY/L	SPORT GREY SWEATSHIRT		SPORT GREY SWEATSHIRT			828489		911a2a90-25b0-cf93-e814-48a5b03efafe
22	GIL 12000/LB/3X	LIGHT BLUE SWEATSHIRT		LIGHT BLUE SWEATSHIRT			468523		911a2a90-25b0-cf93-e814-48a5e03613ff
23	GIL 12000/NT/M	NATURAL SWEATSHIRT		NATURAL SWEATSHIRT			468543		911a2a90-25b0-cf93-e814-48a5c83a2cff
24	GIL 12000/NV/2X	NAVY SWEATSHIRT		NAVY SWEATSHIRT			492398		911a2a90-25b0-cf93-e814-48a5101645ff
25	GIL 12000/NV/3X	NAVY CREWNECK SWEATSHIRT		NAVY CREWNECK SWEATSHIRT			889534		911a2a90-25b0-cf93-e814-48a598eb5fff
26	GIL 12000/NV/L	NAVY SWEATSHIRT		NAVY SWEATSHIRT			783125		911a2a90-25b0-cf93-e814-48a5f8f478ff
27	GIL 12000/NV/XL	NAVY SWEATSHIRT		NAVY SWEATSHIRT			522482		911a2a90-25b0-cf93-e814-48a5d0b891ff
28	GIL 12000/OL/2X	OLIVE SWEATSHIRT		OLIVE SWEATSHIRT			468519		911a2a90-25b0-cf93-e814-48a5d054aaff
29	GIL 12000/OL/M	OLIVE SWEATSHIRT		OLIVE SWEATSHIRT			468521		911a2a90-25b0-cf93-e814-48a580c3c2ff
30	GIL 12000/PU/M	PURPLE SWEATSHIRT		PURPLE SWEATSHIRT			470389		911a2a90-25b0-cf93-e814-48a5e824dbff
31	GIL 12000/PU/XL	PURPLE SWEATSHIRT		PURPLE SWEATSHIRT			470390		911a2a90-25b0-cf93-e814-48a5e85cf3ff
32	GIL 12000/RO/L	ROYAL DRYBLEND SWEATSHIR T		ROYAL DRYBLEND SWEATSHIR	T		563311		911a2a90-25b0-cf93-e814-49a588020d00
33	GIL 12000/RO/M	ROYAL DRYBLEND SWEATSHIR T		ROYAL DRYBLEND SWEATSHIR	T		562880		911a2a90-25b0-cf93-e814-49a568502500
34	GIL 12000/RO/XL	ROYAL CREWNECK SWEATSHIR T		ROYAL CREWNECK SWEATSHIR	T		563741		911a2a90-25b0-cf93-e814-49a568c03c00
35	GIL 12000/SD/XL	SAND SWEATSHIRT		SAND SWEATSHIRT			468541		911a2a90-25b0-cf93-e814-49a510415500
36	GIL 12000/SFGR/L	SAFETY GREEN SWEATSHIRT		SAFETY GREEN SWEATSHIRT			798604		911a2a90-25b0-cf93-e814-49a538c86e00
37	GIL 12000/SG/2X	SPORT GREY SWEATSHIRT		SPORT GREY SWEATSHIRT			893466		911a2a90-25b0-cf93-e814-49a5c0718800
38	GIL 12000/SG/M	SPORT GREY SWEATSHIRT		SPORT GREY SWEATSHIRT			828437		911a2a90-25b0-cf93-e814-49a5d835a200
39	GIL 12000/SG/XL	SPORT GREY SWEATSHIRT		SPORT GREY SWEATSHIRT			828440		911a2a90-25b0-cf93-e814-49a5a0ccbb00
40	GIL 12000/SY/L	SPORT GREY SWEATSHIRT		SPORT GREY SWEATSHIRT			418394		911a2a90-25b0-cf93-e814-49a5a07bd500
41	GIL 12000/WH/XL	WHITE SWEATSHIRT		WHITE SWEATSHIRT			468508		911a2a90-25b0-cf93-e814-49a550e4ee00
42	GIL 12000B/SG/M	SPORTS GREY YOUTH SWEATS HIRT		SPORTS GREY YOUTH SWEATS	HIRT		429844		911a2a90-25b0-cf93-e814-49a5105b0801
43	GIL 12300/AS/L	ASH SWEATPANT		ASH SWEATPANT			768057		911a2a90-25b0-cf93-e814-49a5c0082301
44	GIL 12300/AS/M	ASH SWEATPANT		ASH SWEATPANT			768058		911a2a90-25b0-cf93-e814-49a5a81f3d01
45	GIL 12300/AS/S	ASH SWEATPANT		ASH SWEATPANT			468652		911a2a90-25b0-cf93-e814-49a580165a01
46	GIL 12300/BK/L	BLACK SWEATPANT		BLACK SWEATPANT			931689		911a2a90-25b0-cf93-e814-49a5a0777401
47	GIL 12300/BK/M	BLACK SWEATPANT		BLACK SWEATPANT			931686		911a2a90-25b0-cf93-e814-49a578a69001
48	GIL 12300/BK/S	BLACK SWEATPANT		BLACK SWEATPANT			931681		911a2a90-25b0-cf93-e814-49a5e00eac01
49	GIL 12300/BK/XL	BLACK SWEATPANT		BLACK SWEATPANT			931691		911a2a90-25b0-cf93-e814-49a53882c701
50	GIL 12300/CH/S	CHARCOAL OPEN BOTTOM SWE ATPANT		CHARCOAL OPEN BOTTOM SWE	ATPANT		580663		911a2a90-25b0-cf93-e814-49a5301ee301
51	GIL 12300/RB/L	ROYAL SWEATPANT		ROYAL SWEATPANT			931693		911a2a90-25b0-cf93-e814-49a510befe01
52	GIL 12300/SG/2X	SPORT GREY SWEATPANT		SPORT GREY SWEATPANT			802861		911a2a90-25b0-cf93-e814-49a5b0c71802
53	GIL 12300/SG/L	SPORT GREY SWEATPANT		SPORT GREY SWEATPANT			802855		911a2a90-25b0-cf93-e814-49a578ee3302
54	GIL 12300/SG/M	SPORT GREY SWEATPANT		SPORT GREY SWEATPANT			802854		911a2a90-25b0-cf93-e814-49a5e00b4f02
55	GIL 12300/SG/S	SPORT GREY SWEATPANT		SPORT GREY SWEATPANT			802853		911a2a90-25b0-cf93-e814-49a590366a02
56	GIL 12300/SG/XL	SPORT GREY SWEATPANT		SPORT GREY SWEATPANT			802858		911a2a90-25b0-cf93-e814-49a5a06a8502
57	GIL 125/RB/XL	ROYAL BLUE HOODED SWEATS HIRT		ROYAL BLUE HOODED SWEATS	HIRT		549512		911a2a90-25b0-cf93-e814-49a58029a002
58	GIL 125/SD/XL	SAND HOODED SWEATSHIRT		SAND HOODED SWEATSHIRT			538603		911a2a90-25b0-cf93-e814-49a5386ebc02
59	GIL 125/SF/2X	SAFETY GREEN HOODED SWEA TSHIRT		SAFETY GREEN HOODED SWEA	TSHIRT		277727		911a2a90-25b0-cf93-e814-49a520bdd502
60	GIL 125/SF/L	SAFETY GREEN HOODED SWEA TSHIRT		SAFETY GREEN HOODED SWEA	TSHIRT		277724		911a2a90-25b0-cf93-e814-49a5d8faee02
61	GIL 125/SF/XL	SAFETY GREEN HOODED SWEA TSHIRT		SAFETY GREEN HOODED SWEA	TSHIRT		203329		911a2a90-25b0-cf93-e814-49a5c0810703
62	GIL 125/WH/M	WHITE HOODIE		WHITE HOODIE			725597		911a2a90-25b0-cf93-e814-49a5085d2003
63	GIL 12500/AS/L	ASH PULLOVER HOODIE		ASH PULLOVER HOODIE			819686		911a2a90-25b0-cf93-e814-49a538d83803
64	GIL 12500/AS/M	ASH HOODIE		ASH HOODIE			307755		911a2a90-25b0-cf93-e814-49a5d8965203
65	GIL 12500/AS/XL	ASH HOODIE		ASH HOODIE			823203		911a2a90-25b0-cf93-e814-49a570cb6c03
66	GIL 12500/BK/2X	BLACK HOODIE		BLACK HOODIE			825451		911a2a90-25b0-cf93-e814-49a568418603
67	GIL 12500/BK/3X	BLACK HOODIE		BLACK HOODIE			106047		911a2a90-25b0-cf93-e814-49a5d0b59f03
68	GIL 12500/BK/L	BLACK HOODIE		BLACK HOODIE			825449		911a2a90-25b0-cf93-e814-49a51039b903
69	GIL 12500/BK/M	BLACK HOODIE		BLACK HOODIE			131185		911a2a90-25b0-cf93-e814-49a5709ad403
70	GIL 12500/BK/S	BLACK HOODIE		BLACK HOODIE			314833		911a2a90-25b0-cf93-e814-49a5285bed03
71	GIL 12500/BK/XL	BLACK HOODIE		BLACK HOODIE			825450		911a2a90-25b0-cf93-e814-49a580a80604
