extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
1	ITEA 3VA41124ED240AA0	125A 2P 3VA BREAKER		125A 2P 3VA BREAKER			1003343		911a2a90-25b0-cf93-e814-4da5e8476fb7
2	ITEA EFP1	BREAKER FILLER PLATES		BREAKER FILLER PLATES			936596		911a2a90-25b0-cf93-e814-4da5c0c78ab7
3	ITEA GNF221LA	30A 2P 240V NF GD N1 DIS CONN		30A 2P 240V NF GD N1 DIS	CONN		1028415		911a2a90-25b0-cf93-e814-4da5982ea6b7
4	ITEA GNF222RLA	60A 3P 240V NF GD N3R DI SCO		60A 3P 240V NF GD N3R DI	SCO		1028413		911a2a90-25b0-cf93-e814-4da59079c2b7
5	ITEA HNF361J	SS1 NF 30A		SS1 NF 30A			1008133		911a2a90-25b0-cf93-e814-4da548eadfb7
6	ITEA HNF366RA	DISCONNECT		DISCONNECT			926817		911a2a90-25b0-cf93-e814-4da5005bfdb7
7	ITEA INTERIOR	A		A			962206		911a2a90-25b0-cf93-e814-65a5c8cbe533
8	ITEA P2A54VE400FTS	.		.			1003340		911a2a90-25b0-cf93-e814-4da5d8ce1ab8
9	ITEA P5C75VN800EBS	EV1		EV1			894761		911a2a90-25b0-cf93-e814-65a56044fd33
10	ITEA SN1224B1100	INTERIOR		INTERIOR			827601		911a2a90-25b0-cf93-e814-4da5b0813ab8
11	ITEA TRIM	A		A			962210		911a2a90-25b0-cf93-e814-65a5b8271734
12	ITEA TUB	A		A			962212		911a2a90-25b0-cf93-e814-65a570842f34
