extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
1	JER 100/MA/M	MAROON GOLF SHIRT		MAROON GOLF SHIRT			931709		911a2a90-25b0-cf93-e814-4ea578621e03
2	JER 100/WH/3X	WHITE GOLF SHIRT		WHITE GOLF SHIRT			980602		911a2a90-25b0-cf93-e814-4ea548ed3603
3	JER 1801Z/NV/XL	NAVY SWEATSHIRT		NAVY SWEATSHIRT			944685		911a2a90-25b0-cf93-e814-4ea5c8705103
4	JER 188/AS/L	ASH TEE		ASH TEE			40101		911a2a90-25b0-cf93-e814-4ea598076803
5	JER 188L/OX/XL	OXFORD L/S TEE		OXFORD L/S TEE			545891		911a2a90-25b0-cf93-e814-4ea598647e03
6	JER 188LS/NV/S	NAVY L/S TEE		NAVY L/S TEE			544521		911a2a90-25b0-cf93-e814-4ea5f8fc9403
7	JER 21M/BK/XL	BLACK DRI-POWER SPORT PO LY TEE		BLACK DRI-POWER SPORT PO	LY TEE		562111		911a2a90-25b0-cf93-e814-4ea52884ab03
8	JER 21M/LB/L	LT BLUE DRI-POWER SPORT POLY TEE		LT BLUE DRI-POWER SPORT	POLY TEE		173352		911a2a90-25b0-cf93-e814-4ea5b00dc203
9	JER 21M/SL/L	SILVER DRI-POWER SPORT P OLY TEE		SILVER DRI-POWER SPORT P	OLY TEE		173350		911a2a90-25b0-cf93-e814-4ea53077d803
10	JER 21ML/NV/2X	NAVY DRI-POWER SPORT L/S TEE		NAVY DRI-POWER SPORT L/S	TEE		579283		911a2a90-25b0-cf93-e814-4ea5e0f1ee03
11	JER 21ML/NV/L	NAVY DRI-POWER SPORT L/S TEE		NAVY DRI-POWER SPORT L/S	TEE		579281		911a2a90-25b0-cf93-e814-4ea528050704
12	JER 21ML/NV/M	NAVY DRI-POWER SPORT L/S TEE		NAVY DRI-POWER SPORT L/S	TEE		579280		911a2a90-25b0-cf93-e814-4ea5d8f61e04
13	JER 21ML/NV/XL	NAVY DRI-POWER SPORT L/S TEE		NAVY DRI-POWER SPORT L/S	TEE		579282		911a2a90-25b0-cf93-e814-4ea588d63904
14	JER 21ML/SL/M	SILVER DRI-POWER SPORT L /S TEE		SILVER DRI-POWER SPORT L	/S TEE		134626		911a2a90-25b0-cf93-e814-4ea5504e5404
15	JER 21WR/BK/XL	BLACK LDS DRI-POWER SPOR T TEE		BLACK LDS DRI-POWER SPOR	T TEE		173380		911a2a90-25b0-cf93-e814-4ea570ed6c04
16	JER 21WR/SFGR/M	SF GREEN LDS DRI-POWER S PORT T		SF GREEN LDS DRI-POWER S	PORT T		13317		911a2a90-25b0-cf93-e814-4ea538718504
17	JER 29/AB/2X	AQUATIC BLUE TEE		AQUATIC BLUE TEE			465071		911a2a90-25b0-cf93-e814-4ea540fb9d04
18	JER 29/AB/3X	AQUATIC BLUE TEE		AQUATIC BLUE TEE			465073		911a2a90-25b0-cf93-e814-4ea54065b604
19	JER 29/AB/L	AQUATIC BLUE TEE		AQUATIC BLUE TEE			465068		911a2a90-25b0-cf93-e814-4ea5b8edce04
20	JER 29/AB/M	AQUATIC BLUE TEE		AQUATIC BLUE TEE			465067		911a2a90-25b0-cf93-e814-4ea5e0ace704
21	JER 29/AB/S	AQUATIC BLUE TEE		AQUATIC BLUE TEE			465066		911a2a90-25b0-cf93-e814-4ea5e0ac0005
22	JER 29/AB/XL	AQUATIC BLUE TEE		AQUATIC BLUE TEE			465070		911a2a90-25b0-cf93-e814-4ea5e8811905
23	JER 29/AH/2X	ATHLETIC HEATHER TEE		ATHLETIC HEATHER TEE			792032		911a2a90-25b0-cf93-e814-4ea5e07a3205
24	JER 29/AH/3X	ATHLETIC HEATHER TEE		ATHLETIC HEATHER TEE			792017		911a2a90-25b0-cf93-e814-4ea5a8624b05
25	JER 29/AH/L	ATHLETIC HEATHER TEE		ATHLETIC HEATHER TEE			466064		911a2a90-25b0-cf93-e814-4ea5f82b6405
26	JER 29/AH/M	ATHLETIC HEATHER TEE		ATHLETIC HEATHER TEE			216291		911a2a90-25b0-cf93-e814-4ea528317f05
27	JER 29/AH/S	ATHLETIC HEATHER TEE		ATHLETIC HEATHER TEE			213712		911a2a90-25b0-cf93-e814-4ea508159805
28	JER 29/AH/XL	ATHLETIC HEATHER TEE		ATHLETIC HEATHER TEE			466065		911a2a90-25b0-cf93-e814-4ea5289bb005
29	JER 29/AS/2X	ASH TEE		ASH TEE			17574		911a2a90-25b0-cf93-e814-4ea5c808cb05
30	JER 29/AS/3X	ASH TEE		ASH TEE			49333		911a2a90-25b0-cf93-e814-4ea57077e605
31	JER 29/AS/L	ASH TEE		ASH TEE			999182		911a2a90-25b0-cf93-e814-4ea500540106
32	JER 29/AS/M	ASH TEE		ASH TEE			999180		911a2a90-25b0-cf93-e814-4ea500931c06
33	JER 29/AS/S	ASH TEE		ASH TEE			627809		911a2a90-25b0-cf93-e814-4ea598e63506
34	JER 29/AS/XL	ASH TEE		ASH TEE			49331		911a2a90-25b0-cf93-e814-4ea590ad4e06
35	JER 29/AZ/4X	AZALEA S/S TEE		AZALEA S/S TEE			966685		911a2a90-25b0-cf93-e814-4ea5f0846706
36	JER 29/AZ/L	AZALEA TEE		AZALEA TEE			364584		911a2a90-25b0-cf93-e814-4ea530278006
37	JER 29/AZ/M	AZALEA TEE		AZALEA TEE			364583		911a2a90-25b0-cf93-e814-4ea580f69706
38	JER 29/AZ/S	AZALEA TEE		AZALEA TEE			364582		911a2a90-25b0-cf93-e814-4ea5d8adb006
39	JER 29/AZ/XL	AZALEA S/S TEE		AZALEA S/S TEE			616833		911a2a90-25b0-cf93-e814-4ea5c854c906
40	JER 29/BH/L	BLACK HEATHER TEE		BLACK HEATHER TEE			206084		911a2a90-25b0-cf93-e814-4ea500fde306
41	JER 29/BH/XL	BLACK HEATHER TEE		BLACK HEATHER TEE			206086		911a2a90-25b0-cf93-e814-4ea53815fd06
42	JER 29/BI/2X	BIRCH TEE		BIRCH TEE			436031		911a2a90-25b0-cf93-e814-4ea548a01607
43	JER 29/BK/2X	BLACK TEE		BLACK TEE			234753		911a2a90-25b0-cf93-e814-4ea5606a2f07
44	JER 29/BK/3X	BLACK TEE		BLACK TEE			782050		911a2a90-25b0-cf93-e814-4ea568584807
45	JER 29/BK/4X	BLACK TEE		BLACK TEE			405144		911a2a90-25b0-cf93-e814-4ea5b8086107
46	JER 29/BK/5X	BLACK TEE		BLACK TEE			782051		911a2a90-25b0-cf93-e814-4ea5a8327907
47	JER 29/BK/L	BLACK TEE		BLACK TEE			781088		911a2a90-25b0-cf93-e814-4ea5608f9107
48	JER 29/BK/M	BLACK TEE		BLACK TEE			464493		911a2a90-25b0-cf93-e814-4ea560aea907
49	JER 29/BK/S	BLACK TEE		BLACK TEE			464491		911a2a90-25b0-cf93-e814-4ea538f5c107
50	JER 29/BK/XL	BLACK TEE		BLACK TEE			781089		911a2a90-25b0-cf93-e814-4ea51843da07
51	JER 29/BKH/2X	BLACK HEATHER TEE		BLACK HEATHER TEE			808394		911a2a90-25b0-cf93-e814-4ea53058f307
52	JER 29/BKH/3X	BLACK HEATHER TEE		BLACK HEATHER TEE			250918		911a2a90-25b0-cf93-e814-4ea5b8200c08
53	JER 29/BKH/3XL	BLACK HEATHER TEE		BLACK HEATHER TEE			808396		911a2a90-25b0-cf93-e814-4ea5100a2508
54	JER 29/BKH/L	BLACK HEATHER TEE		BLACK HEATHER TEE			867375		911a2a90-25b0-cf93-e814-4ea5e0df3d08
55	JER 29/BKH/M	BLACK HEATHER TEE		BLACK HEATHER TEE			808390		911a2a90-25b0-cf93-e814-4ea518ad5608
56	JER 29/BKH/S	BLACK HEATHER TEE		BLACK HEATHER TEE			84398		911a2a90-25b0-cf93-e814-4ea5300d7008
57	JER 29/BKH/XL	BLACK HEATHER TEE		BLACK HEATHER TEE			808391		911a2a90-25b0-cf93-e814-4ea5d8238908
58	JER 29/BO/2X	BURNT ORANGE TEE		BURNT ORANGE TEE			471894		911a2a90-25b0-cf93-e814-4ea59836a208
59	JER 29/BO/M	BURNT ORANGE TEE		BURNT ORANGE TEE			607639		911a2a90-25b0-cf93-e814-4ea5b858ba08
60	JER 29/BO/XL	BURNT ORANGE TEE		BURNT ORANGE TEE			607640		911a2a90-25b0-cf93-e814-4ea5a094d208
61	JER 29/CB/2X	CALIFORNIA BLUE TEE		CALIFORNIA BLUE TEE			607641		911a2a90-25b0-cf93-e814-4ea5006ceb08
62	JER 29/CB/L	CALIFORNIA BLUE TEE		CALIFORNIA BLUE TEE			353695		911a2a90-25b0-cf93-e814-4ea5b8ce0209
63	JER 29/CB/M	CALIFORNIA BLUE TEE		CALIFORNIA BLUE TEE			353693		911a2a90-25b0-cf93-e814-4ea5a82a1b09
64	JER 29/CB/S	CALIFORNIA BLUE TEE		CALIFORNIA BLUE TEE			353690		911a2a90-25b0-cf93-e814-4ea528a13309
65	JER 29/CB/XL	CALIFORNIA BLUE TEE		CALIFORNIA BLUE TEE			373322		911a2a90-25b0-cf93-e814-4ea5a8494c09
66	JER 29/CD/2X	CARDINAL TEE		CARDINAL TEE			774851		911a2a90-25b0-cf93-e814-4ea580e26709
67	JER 29/CD/3X	CARDINAL TEE		CARDINAL TEE			774853		911a2a90-25b0-cf93-e814-4ea5f8c88109
68	JER 29/CD/L	CARDINAL TEE		CARDINAL TEE			898674		911a2a90-25b0-cf93-e814-4ea5c8ca9b09
69	JER 29/CD/XL	CARDINAL TEE		CARDINAL TEE			767904		911a2a90-25b0-cf93-e814-4ea5d8d2b509
70	JER 29/CH/2X	CHARCOAL GREY TEE		CHARCOAL GREY TEE			39229		911a2a90-25b0-cf93-e814-4ea5005acf09
71	JER 29/CH/3X	CHARCOAL GREY TEE		CHARCOAL GREY TEE			642594		911a2a90-25b0-cf93-e814-4ea528a9e909
72	JER 29/CH/4X	CHARCOAL GREY TEE		CHARCOAL GREY TEE			802831		911a2a90-25b0-cf93-e814-4ea50823030a
73	JER 29/CH/L	CHARCOAL GREY TEE		CHARCOAL GREY TEE			802829		911a2a90-25b0-cf93-e814-4ea5c0411d0a
74	JER 29/CH/M	CHARCOAL GREY TEE		CHARCOAL GREY TEE			767150		911a2a90-25b0-cf93-e814-4ea570f5360a
75	JER 29/CH/S	CHARCOAL GREY TEE		CHARCOAL GREY TEE			39228		911a2a90-25b0-cf93-e814-4ea590c0500a
76	JER 29/CH/XL	CHARCOAL GREY TEE		CHARCOAL GREY TEE			767151		911a2a90-25b0-cf93-e814-4ea5b82e6a0a
77	JER 29/CHO/M	CHOCOLATE TEE		CHOCOLATE TEE			528513		911a2a90-25b0-cf93-e814-4ea51800840a
78	JER 29/CL/2X	COLUMBIA BLUE TEE		COLUMBIA BLUE TEE			692762		911a2a90-25b0-cf93-e814-4ea5800a9e0a
79	JER 29/CL/3X	COLUMBIA BLUE TEE		COLUMBIA BLUE TEE			692765		911a2a90-25b0-cf93-e814-4ea5185eb70a
80	JER 29/CL/L	COLUMBIA BLUE TEE		COLUMBIA BLUE TEE			364587		911a2a90-25b0-cf93-e814-4ea5a87fd30a
81	JER 29/CL/M	COLUMBIA BLUE TEE		COLUMBIA BLUE TEE			364586		911a2a90-25b0-cf93-e814-4ea5a815ed0a
82	JER 29/CL/S	COLUMBIA BLUE TEE		COLUMBIA BLUE TEE			364585		911a2a90-25b0-cf93-e814-4ea5d0ce060b
83	JER 29/CL/XL	COLUMBIA BLUE TEE		COLUMBIA BLUE TEE			760823		911a2a90-25b0-cf93-e814-4ea5c06f200b
84	JER 29/CLB/M	COLUMBIA BLUE TEE		COLUMBIA BLUE TEE			974271		911a2a90-25b0-cf93-e814-4ea5c0ec390b
85	JER 29/CM/L	COOL MINT TEE		COOL MINT TEE			230399		911a2a90-25b0-cf93-e814-4ea578d9530b
86	JER 29/CO/2X	CHOCOLATE TEE		CHOCOLATE TEE			155205		911a2a90-25b0-cf93-e814-4ea528fd6b0b
87	JER 29/CO/3X	CHOCOLATE TEE		CHOCOLATE TEE			432609		911a2a90-25b0-cf93-e814-4ea5287a850b
88	JER 29/CO/L	CHOCOLATE TEE		CHOCOLATE TEE			133293		911a2a90-25b0-cf93-e814-4ea598aa9e0b
89	JER 29/CO/M	CHOCOLATE TEE		CHOCOLATE TEE			133296		911a2a90-25b0-cf93-e814-4ea510aab80b
90	JER 29/CO/S	CHOCOLATE TEE		CHOCOLATE TEE			133292		911a2a90-25b0-cf93-e814-4ea5d859d20b
91	JER 29/CO/XL	CHOCOLATE TEE		CHOCOLATE TEE			133297		911a2a90-25b0-cf93-e814-4ea5d0e8eb0b
92	JER 29/CP/2X	CYBER PINK TEE		CYBER PINK TEE			485796		911a2a90-25b0-cf93-e814-4ea500e1040c
93	JER 29/CP/3X	CYBER PINK TEE		CYBER PINK TEE			802835		911a2a90-25b0-cf93-e814-4ea5c87e210c
94	JER 29/CP/L	CYBER PINK TEE		CYBER PINK TEE			485938		911a2a90-25b0-cf93-e814-4ea5007e3a0c
95	JER 29/CP/M	CYBER PINK TEE		CYBER PINK TEE			104824		911a2a90-25b0-cf93-e814-4ea5a894530c
96	JER 29/CP/XL	CYBER PINK TEE		CYBER PINK TEE			471250		911a2a90-25b0-cf93-e814-4ea5606e6c0c
97	JER 29/CR/XL	CRIMSON TEE		CRIMSON TEE			802839		911a2a90-25b0-cf93-e814-4ea5b037850c
98	JER 29/DPR/XL	DEEP PURPLE TEE		DEEP PURPLE TEE			174539		911a2a90-25b0-cf93-e814-4ea580719e0c
99	JER 29/DPU/2X	DEEP PURPLE TEE		DEEP PURPLE TEE			174544		911a2a90-25b0-cf93-e814-4ea5a817b70c
100	JER 29/DPU/3X	DEEP PURPLE TEE		DEEP PURPLE TEE			174549		911a2a90-25b0-cf93-e814-4ea5f0a1d00c
101	JER 29/DPU/4X	DEEP PURPLE TEE		DEEP PURPLE TEE			174551		911a2a90-25b0-cf93-e814-4ea5f8d4ea0c
