extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
1	ENG 1000000416	SERGE MIST FILTER SP-300 V		SERGE MIST FILTER SP-300	V		610091		911a2a90-25b0-cf93-e814-46a5c89aee6b
2	ENG 1000001658	WIPER/SCRAPER ROLAND PRI NTER		WIPER/SCRAPER ROLAND PRI	NTER		240888		911a2a90-25b0-cf93-e814-46a57079086c
3	ENG 1000002544	LINEAR ENCODER SCALE ROL AND 54		LINEAR ENCODER SCALE ROL	AND 54		240891		911a2a90-25b0-cf93-e814-46a5b899226c
4	ENG 1000002598	CUTTER PROTECTION STRIP 54		CUTTER PROTECTION STRIP	54		240894		911a2a90-25b0-cf93-e814-46a500d93b6c
5	ENG 1000003390	RUBBER WIPERS FOR ROLAND PRINTER		RUBBER WIPERS FOR ROLAND	PRINTER		971990		911a2a90-25b0-cf93-e814-46a5c856556c
6	ENG 1000004546	CAPTOPS FOR ROLAND PRINT ER		CAPTOPS FOR ROLAND PRINT	ER		240889		911a2a90-25b0-cf93-e814-46a5b0226f6c
7	ENG 104-08-S	MULT WALL BRACKET 2 1X8 SLOTS		MULT WALL BRACKET 2 1X8	SLOTS		825228		911a2a90-25b0-cf93-e814-46a518bd8a6c
8	ENG 106-08-S	MULT WALL BRACKET 3 1X8 SLTS SLVR		MULT WALL BRACKET 3 1X8	SLTS SLVR		828097		911a2a90-25b0-cf93-e814-46a53050a86c
9	ENG 110-06-SATIN	YELLOW GOLD WALL MOUNT H OLDER		YELLOW GOLD WALL MOUNT H	OLDER		822809		911a2a90-25b0-cf93-e814-46a5a86fc56c
10	ENG 11115A17	KEY RING CLIP CLIP ON SI NGLE HOOK		KEY RING CLIP CLIP ON SI	NGLE HOOK		202425		911a2a90-25b0-cf93-e814-46a5c08ce56c
11	ENG 118	52 POLYCARBONATE UV CLEA R		52 POLYCARBONATE UV CLEA	R		500412		911a2a90-25b0-cf93-e814-46a5f09e026d
12	ENG 143-206	WH/RD 1/8 ENGRAVING PLAS TIC 12X24		WH/RD 1/8 ENGRAVING PLAS	TIC 12X24		467165		911a2a90-25b0-cf93-e814-46a5a03f1b6d
13	ENG 143-602	RD/WH/RD 3-PLY PLASTIC S HEET 12X24		RD/WH/RD 3-PLY PLASTIC S	HEET 12X24		713546		911a2a90-25b0-cf93-e814-46a55883336d
14	ENG 143-612	OR/WH/OR PLASTIC SHEET 1 2X24		OR/WH/OR PLASTIC SHEET 1	2X24		564908		911a2a90-25b0-cf93-e814-46a5c8814c6d
15	ENG 158L	ONE-SHOT LETTERING ENAME L QUART		ONE-SHOT LETTERING ENAME	L QUART		433588		911a2a90-25b0-cf93-e814-46a578e4666d
16	ENG 22275120	T SPONGE FOR ROLAND PRIN TER		T SPONGE FOR ROLAND PRIN	TER		334079		911a2a90-25b0-cf93-e814-46a5989d9c6d
17	ENG 2826-3003-207	BRUSH SV PRINT VINYL 30X 10YD		BRUSH SV PRINT VINYL 30X	10YD		723370		911a2a90-25b0-cf93-e814-46a580c0b46d
18	ENG 2X12	10OZ PURPLE BANNER BLANK		10OZ PURPLE BANNER BLANK			617007		911a2a90-25b0-cf93-e814-46a500ff826d
19	ENG 30X10	DUSTED CRYSTAL VINYL ROL L 30X10YD		DUSTED CRYSTAL VINYL ROL	L 30X10YD		749993		911a2a90-25b0-cf93-e814-46a51013e66d
20	ENG 30X50YD	245 COBALT BLUE VINYL RO LL		245 COBALT BLUE VINYL RO	LL		824072		911a2a90-25b0-cf93-e814-46a580f8cc6d
21	ENG 311-101	CLEAR ADA PLASTIC SHEET 1/32 24X48		CLEAR ADA PLASTIC SHEET	1/32 24X48		48485		911a2a90-25b0-cf93-e814-46a55083fe6d
22	ENG 311-101/24X24	CLEAR ADA PLASTIC 1/32 T HICK		CLEAR ADA PLASTIC 1/32 T	HICK		328331		911a2a90-25b0-cf93-e814-46a5e007176e
23	ENG 311-204A	BRT WHITE ADA APPLIQUE W /ADH 12X24		BRT WHITE ADA APPLIQUE W	/ADH 12X24		380577		911a2a90-25b0-cf93-e814-46a58882306e
24	ENG 311-218	SANDALWOOD 1/32 PLASTIC SHEET 12X24		SANDALWOOD 1/32 PLASTIC	SHEET 12X24		176004		911a2a90-25b0-cf93-e814-46a5f0ab496e
25	ENG 311-305	LT GRAY 1/32 ADA APPLIQU E 12X24		LT GRAY 1/32 ADA APPLIQU	E 12X24		467176		911a2a90-25b0-cf93-e814-46a5c8a1626e
26	ENG 311-401V	BLACK 1/32 ADA PLASTIC 2 4X48		BLACK 1/32 ADA PLASTIC 2	4X48		112894		911a2a90-25b0-cf93-e814-46a558a37b6e
27	ENG 311-601	1/32 ADA PLASTIC RED 12X 24 SHEET		1/32 ADA PLASTIC RED 12X	24 SHEET		567917		911a2a90-25b0-cf93-e814-46a598a9946e
28	ENG 311-602	12X24 BURGUNDY ADA 1/32S HEET		12X24 BURGUNDY ADA 1/32S	HEET		329526		911a2a90-25b0-cf93-e814-46a5e83aae6e
29	ENG 311-803	1/32 ADA DARK BROWN 12X2 4 SHEET		1/32 ADA DARK BROWN 12X2	4 SHEET		549686		911a2a90-25b0-cf93-e814-46a53830c86e
30	ENG 311-902	PINE GREEN ADA APPLIQUE 12X24 1/32		PINE GREEN ADA APPLIQUE	12X24 1/32		498627		911a2a90-25b0-cf93-e814-46a58018e36e
31	ENG 321-101	12X24 MATTE CLEAR PLASTI C SHEET ADA		12X24 MATTE CLEAR PLASTI	C SHEET ADA		58714		911a2a90-25b0-cf93-e814-46a5f868fc6e
32	ENG 321-301	GRAY 1/16 ADA PLASTIC SH EET 12X24		GRAY 1/16 ADA PLASTIC SH	EET 12X24		222445		911a2a90-25b0-cf93-e814-46a51039146f
33	ENG 321-401	BLACK ADA PLASTIC SHEET 1/16 12X24		BLACK ADA PLASTIC SHEET	1/16 12X24		286925		911a2a90-25b0-cf93-e814-46a5b04f306f
34	ENG 321-602	BURGANDY ADA PLASTIC SHE ET 12X24		BURGANDY ADA PLASTIC SHE	ET 12X24		694229		911a2a90-25b0-cf93-e814-46a5d0974a6f
35	ENG 321-903	12X24 BK.FOR.GN PLASTIC SHEET 1/16		12X24 BK.FOR.GN PLASTIC	SHEET 1/16		174615		911a2a90-25b0-cf93-e814-46a5c077666f
36	ENG 341-101	CLEAR 1/8 ADA PLASTIC 24 X24 SHEET		CLEAR 1/8 ADA PLASTIC 24	X24 SHEET		357635		911a2a90-25b0-cf93-e814-46a5a0a1846f
37	ENG 341-201	WHITE 1/8 ADA PLASTIC SH EET 12X24		WHITE 1/8 ADA PLASTIC SH	EET 12X24		567923		911a2a90-25b0-cf93-e814-46a520c2a26f
38	ENG 341-204	BRIGHT WHITE ADA PLASTIC 24X48		BRIGHT WHITE ADA PLASTIC	24X48		868238		911a2a90-25b0-cf93-e814-46a5d0adbb6f
39	ENG 341-218	SANDALWOOD 1/8 ADA PLAST IC 12X24		SANDALWOOD 1/8 ADA PLAST	IC 12X24		549684		911a2a90-25b0-cf93-e814-46a5b85ad66f
40	ENG 341-301	GRAY ADA PLASTIC SHEET 1 2X24		GRAY ADA PLASTIC SHEET 1	2X24		81323		911a2a90-25b0-cf93-e814-46a5c0a0f16f
41	ENG 341-302	CHINA BLUE ADA 1/8 PLAST IC 12X24		CHINA BLUE ADA 1/8 PLAST	IC 12X24		583715		911a2a90-25b0-cf93-e814-46a500370c70
