extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
1	HNS 0504/CH/L	CHARCOAL HTR POCKET POLO		CHARCOAL HTR POCKET POLO			180970		911a2a90-25b0-cf93-e814-4ba5205b97d2
2	HNS 0504/LS/XL	LIGHT STEEL POCKET POLO		LIGHT STEEL POCKET POLO			471077		911a2a90-25b0-cf93-e814-4ba5c051b0d2
3	HNS 054/BK/2X	BLACK POLO		BLACK POLO			471055		911a2a90-25b0-cf93-e814-4ba58852c9d2
4	HNS 054/BK/L	BLACK POLO		BLACK POLO			471053		911a2a90-25b0-cf93-e814-4ba5602fe2d2
5	HNS 054/RD/L	DEEP RED POLO		DEEP RED POLO			897931		911a2a90-25b0-cf93-e814-4ba5f86ffad2
6	HNS 054/RD/XL	DEEP RED POLO		DEEP RED POLO			897934		911a2a90-25b0-cf93-e814-4ba5d8d612d3
7	HNS 054/WH/M	WHITE ECOSMART JERSEY KN IT POLO		WHITE ECOSMART JERSEY KN	IT POLO		695334		911a2a90-25b0-cf93-e814-4ba5004b2bd3
8	HNS 055P/BH/XL	BLUE HORIZON POCKET POLO		BLUE HORIZON POCKET POLO			847299		911a2a90-25b0-cf93-e814-4ba5a8d845d3
9	HNS 055P/BK/XL	BLACK MENS X-TEMP POLO		BLACK MENS X-TEMP POLO			390699		911a2a90-25b0-cf93-e814-4ba538895fd3
10	HNS 055P/RB/L	ROYAL POLO		ROYAL POLO			885684		911a2a90-25b0-cf93-e814-4ba5887177d3
11	HNS 055P/RB/M	ROYAL POLO		ROYAL POLO			885683		911a2a90-25b0-cf93-e814-4ba5904c8fd3
12	HNS 055P/RB/S	ROYAL POLO		ROYAL POLO			885682		911a2a90-25b0-cf93-e814-4ba5c018a7d3
13	HNS 055P/RB/XL	ROYAL POLO		ROYAL POLO			885685		911a2a90-25b0-cf93-e814-4ba56835bfd3
14	HNS 055P/RD/M	DEEP RED POCKET POLO		DEEP RED POCKET POLO			189311		911a2a90-25b0-cf93-e814-4ba52009d9d3
15	HNS 055P/RD/S	DEEP RED POCKET POLO		DEEP RED POCKET POLO			189310		911a2a90-25b0-cf93-e814-4ba5b875f2d3
16	HNS 055P/RD/XL	DEEP RED POCKET POLO		DEEP RED POCKET POLO			189312		911a2a90-25b0-cf93-e814-4ba5a0280cd4
