extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
1	ABB 12LSM54-0	.		.			594733		911a2a90-25b0-cf93-e814-5ea5b8d669de
2	ABB 12RTR2-LI	.		.			594732		911a2a90-25b0-cf93-e814-5ea5d03c82de
3	ABB 14"X13.25" ANODIZED	14"X13.25" ANODIZED ALUM		14"X13.25" ANODIZED ALUM			1029210		a015b116-72df-7693-d614-7ce9f0c8ad70
4	ABB 14X13.25	ANODIZED ALUM		ANODIZED ALUM			1029210		911a2a90-25b0-cf93-e814-46a5982a9b5f
5	ABB 1SAX111001R1102	.		.			950783		911a2a90-25b0-cf93-e814-40a5a0fc6250
6	ABB 1SAZ211401R1028	(TA25DU-2.4-20)		(TA25DU-2.4-20)			583594		911a2a90-25b0-cf93-e814-40a5f0557d50
7	ABB 1SDA051387R1	HANDLE		HANDLE			212508		911a2a90-25b0-cf93-e814-40a5f03c9650
8	ABB 1SDA066325R1	.		.			986579		911a2a90-25b0-cf93-e814-40a5f03caf50
9	ABB 1SDA075399R1	.		.			986575		911a2a90-25b0-cf93-e814-40a568c5c750
10	ABB 1SDA075865R1	.		.			986578		911a2a90-25b0-cf93-e814-40a53030e050
11	ABB 1SDA080704R1	KIT DIN50022 XT2		KIT DIN50022 XT2			731372		911a2a90-25b0-cf93-e814-40a50089f850
12	ABB 1SFA611812R5009	PB ENCL ASSY 2PB 1NO/1NC		PB ENCL ASSY 2PB 1NO/1NC			619093		911a2a90-25b0-cf93-e814-40a5700a1151
13	ABB 1SFA611812R5010	(MEP2-5010) PB STATION T RIP(CBK-EP2TC30)(MEP2TC3		(MEP2-5010) PB STATION T	RIP(CBK-EP2TC30)(MEP2TC3	0)	761370		911a2a90-25b0-cf93-e814-40a5f898229c
14	ABB 1SFA611930R1073	OFF/ON LP INSERT		OFF/ON LP INSERT			245273		911a2a90-25b0-cf93-e814-40a5085e2a51
15	ABB 1SFA611930R1074	STOP/START LP INSERT		STOP/START LP INSERT			250131		911a2a90-25b0-cf93-e814-40a5786f4451
16	ABB 1SFA611930R1082	I/O/II LP INSERT		I/O/II LP INSERT			250133		911a2a90-25b0-cf93-e814-40a5389b5d51
