extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,ABB 12LSM54-0,.,,.,,12lsm54 0 . 594733,594733,,b95d65c6-81a4-73a6-d314-15e80830df7b,594733,12lsm54 0 .,no,
2,ABB 12RTR2-LI,.,,.,,12rtr2 li . 594732,594732,,b95d65c6-81a4-73a6-d314-15e858ed127c,594732,12rtr2 li .,no,
3,"ABB 14""X13.25"" ANODIZED","14""X13.25"" ANODIZED ALUM",,"14""X13.25"" ANODIZED ALUM",,"14""x13.25"" anodized alum 1029210",1029210,,a015b116-72df-7693-d614-7ce9f0c8ad70,1029210,"14""x13.25"" anodized alum",no,
4,ABB 14X13.25,ANODIZED ALUM,,ANODIZED ALUM,,14x13.25 anodized alum 1029210,1029210,,9db6fac8-f502-728b-d914-351ca8d1f128,1029210,14x13.25 anodized alum,no,
5,ABB 1SAX111001R1102,.,,.,,1sax111001r1102 . 950783,950783,,b95d65c6-81a4-73a6-d314-d6e7f07689d2,950783,1sax111001r1102 .,no,
6,ABB 1SAZ211401R1028,(TA25DU-2.4-20),,(TA25DU-2.4-20),,1saz211401r1028 ta25du 2.4 20 2. 583594,583594,,b95d65c6-81a4-73a6-d314-d6e7f861c8d2,583594,1saz211401r1028 ta25du 2.4 20 2.,no,
7,ABB 1SDA051387R1,HANDLE,,HANDLE,,1sda051387r1 handle 212508,212508,,b95d65c6-81a4-73a6-d314-d6e7c84d07d3,212508,1sda051387r1 handle,no,
8,ABB 1SDA066325R1,.,,.,,1sda066325r1 . 986579,986579,,b95d65c6-81a4-73a6-d314-d6e7d02545d3,986579,1sda066325r1 .,no,
9,ABB 1SDA075399R1,.,,.,,1sda075399r1 . 986575,986575,,b95d65c6-81a4-73a6-d314-d6e7a85682d3,986575,1sda075399r1 .,no,
10,ABB 1SDA075865R1,.,,.,,1sda075865r1 . 986576,986576,,b95d65c6-81a4-73a6-d314-d6e7e814c0d3,986576,1sda075865r1 .,no,
11,ABB 1SDA080704R1,KIT DIN50022 XT2,,KIT DIN50022 XT2,,1sda080704r1 kit din50022 xt2 731372,731372,,b95d65c6-81a4-73a6-d314-d6e7b8d13cd4,731372,1sda080704r1 kit din50022 xt2,no,
12,ABB 1SFA611812R5009,PB ENCL ASSY 2PB 1NO/1NC,,PB ENCL ASSY 2PB 1NO/1NC,,1sfa611812r5009 pb encl assy 2pb 1no 1nc as 619093,619093,,b95d65c6-81a4-73a6-d314-d6e790c377d4,619093,1sfa611812r5009 pb encl assy 2pb 1no 1nc as,no,
13,ABB 1SFA611812R5010,(MEP2-5010) PB STATION T RIP(CBK-EP2TC30)(MEP2TC3,,(MEP2-5010) PB STATION T,RIP(CBK-EP2TC30)(MEP2TC3,1sfa611812r5010 mep2 5010 pb station t rip cbk ep2tc30 mep2tc3 761370,761370,,b95d65c6-81a4-73a6-d314-d7e700ab3190,761370,1sfa611812r5010 mep2 5010 pb station t rip cbk ep2tc30 mep2tc3,no,
14,ABB 1SFA611930R1073,OFF/ON LP INSERT,,OFF/ON LP INSERT,,1sfa611930r1073 off on lp insert 245273,245273,,b95d65c6-81a4-73a6-d314-d6e78843b9d4,245273,1sfa611930r1073 off on lp insert,no,
15,ABB 1SFA611930R1074,STOP/START LP INSERT,,STOP/START LP INSERT,,1sfa611930r1074 stop start lp insert 250131,250131,,b95d65c6-81a4-73a6-d314-d6e7202ef0d4,250131,1sfa611930r1074 stop start lp insert,no,
16,ABB 1SFA611930R1082,I/O/II LP INSERT,,I/O/II LP INSERT,,1sfa611930r1082 i o ii lp insert 250133,250133,,b95d65c6-81a4-73a6-d314-d6e788c225d5,250133,1sfa611930r1082 i o ii lp insert,no,
