extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,ACM T1002K0190C,1PH 2.0KVA 240X480-120/2 40,,1PH 2.0KVA 240X480-120/2,40,t1002k0190c 1ph 2.0kva 240x480 120 2 40 240 1003904,1003904,,b95d65c6-81a4-73a6-d314-d7e790b422b5,1003904,t1002k0190c 1ph 2.0kva 240x480 120 2 40 240,no,
2,ACM T1005K0194C,1PH 5.0KVA 240X480-120/2 40,,1PH 5.0KVA 240X480-120/2,40,t1005k0194c 1ph 5.0kva 240x480 120 2 40 240 1003898,1003898,,b95d65c6-81a4-73a6-d314-d7e7f81c70b5,1003898,t1005k0194c 1ph 5.0kva 240x480 120 2 40 240,no,
3,ACM T1005K0220C,1PH 5.0KVA,,1PH 5.0KVA,,t1005k0220c 1ph 5.0kva 1003906,1003906,,b95d65c6-81a4-73a6-d314-d7e7d03ea3b5,1003906,t1005k0220c 1ph 5.0kva,no,
4,ACM T1010K0193C,1PH 10KVA 240X480-120/24 0,,1PH 10KVA 240X480-120/24,0,t1010k0193c 1ph 10kva 240x480 120 24 0 240x 1003905,1003905,,b95d65c6-81a4-73a6-d314-d7e7386fd8b5,1003905,t1010k0193c 1ph 10kva 240x480 120 24 0 240x,no,
5,ACM T113074,"SINGLE PHASE, 120x240-16 /32V 1.5KVA",,"SINGLE PHASE, 120x240-16",/32V 1.5KVA,"t113074 single phase, 120x240 16 32v 1.5kva 120x 979759",979759,,b95d65c6-81a4-73a6-d314-d7e7188406b6,979759,"t113074 single phase, 120x240 16 32v 1.5kva 120x",no,
6,ACM T253012S,2KVA 1PH 240X480-120/240 ENCP 3R,,2KVA 1PH 240X480-120/240,ENCP 3R,t253012s 2kva 1ph 240x480 120 240 encp encapsulated 3r tfmr transformer 2.0kva 556405,556405,,b95d65c6-81a4-73a6-d314-d7e7d8a236b6,556405,t253012s 2kva 1ph 240x480 120 240 encp encapsulated 3r tfmr transformer 2.0kva,no,
7,ACM T2530144S,5KVA 1PH 240X480-120/240 ENCP 3R,,5KVA 1PH 240X480-120/240,ENCP 3R,t2530144s 5kva 1ph 240x480 120 240 encp encapsulated 3r tfmr transformer 5.0kva 556407,556407,,b95d65c6-81a4-73a6-d314-d7e7203570b6,556407,t2530144s 5kva 1ph 240x480 120 240 encp encapsulated 3r tfmr transformer 5.0kva,no,
8,ACM T2535153S,7.5KVA 1PH 240X480-120/2 40 ENCP 3,,7.5KVA 1PH 240X480-120/2,40 ENCP 3,t2535153s 7.5kva 1ph 240x480 120 2 40 encp encapsulated 3 240x4 tfmr transformer 240 556411,556411,,b95d65c6-81a4-73a6-d314-d7e798aba4b6,556411,t2535153s 7.5kva 1ph 240x480 120 2 40 encp encapsulated 3 240x4 tfmr transformer 240,no,
9,ACM T279743S,3KVA TRANSFORMER,,3KVA TRANSFORMER,,t279743s 3kva transformer 146461,146461,,b95d65c6-81a4-73a6-d314-d7e708a62ab7,146461,t279743s 3kva transformer,no,
10,ACM T279744S,XFMR 1PH 5.0kVA ENCP,,XFMR 1PH 5.0kVA ENCP,,t279744s xfmr transformer 1ph 5.0kva encp encapsulated e 290989,290989,,b95d65c6-81a4-73a6-d314-d7e7003c60b7,290989,t279744s xfmr transformer 1ph 5.0kva encp encapsulated e,no,
11,ACM T2A533101S,9KVA TRANSFORMER,,9KVA TRANSFORMER,,t2a533101s 9kva transformer transforme tfmr 3ph 480 208y120 146462,146462,,b95d65c6-81a4-73a6-d314-d7e750cba3b7,146462,t2a533101s 9kva transformer transforme tfmr 3ph 480 208y120,no,
12,ACM TP-53019-3S,(940A43504) TRANSFORMER,,(940A43504) TRANSFORMER,,tp 53019 3s 940a43504 transformer tr 281723,281723,,b95d65c6-81a4-73a6-d314-d7e70814e9b7,281723,tp 53019 3s 940a43504 transformer tr,no,
