extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,AIR 23005,EPRSM24 24 DIRECT DRIVE SHUTTER FAN,,EPRSM24 24 DIRECT DRIVE,SHUTTER FAN,"23005 eprsm24 24 direct drive shutter fan 24"" d 976457",976457,,b95d65c6-81a4-73a6-d314-d7e7c08738d3,976457,"23005 eprsm24 24 direct drive shutter fan 24"" d",no,
2,AIR 23014,LPSF24 24 DIRECT DRIVE S HUTTER FAN,,LPSF24 24 DIRECT DRIVE S,HUTTER FAN,"23014 lpsf24 24 direct drives hutter fan 24"" dr 716316",716316,,b95d65c6-81a4-73a6-d314-d7e720c77ad3,716316,"23014 lpsf24 24 direct drives hutter fan 24"" dr",no,
3,AIR 24855,485210 6A VARIABLE SPPED FAN CONTROL (KBWC-16K),,485210 6A VARIABLE SPPED,FAN CONTROL (KBWC-16K),24855 485210 6a variable spped fan control kbwc 16k s 24579,24579,,b95d65c6-81a4-73a6-d314-d7e74852bdd3,24579,24855 485210 6a variable spped fan control kbwc 16k s,no,
4,AIR 31101,PACA17.75-12 12 (FLAT RO OF) CURB,,PACA17.75-12 12 (FLAT RO,OF) CURB,"31101 paca17.75 12 flat roof curb 12"" fl 978974",978974,,9db6fac8-f502-728b-d914-331ce890401e,978974,"31101 paca17.75 12 flat roof curb 12"" fl",no,
5,AIR 40140,MARK-II 55 CEIL FAN 120V WH W/ACCESS***INCLUDES,,MARK-II 55 CEIL FAN 120V,WH W/ACCESS***INCLUDES,"40140 mark ii 55 ceiling fan 120v white w access includes 55"" 508962",508962,,b95d65c6-81a4-73a6-d314-d7e7d863fdd3,508962,"40140 mark ii 55 ceiling fan 120v white w access includes 55""",no,
6,AIR 60007,EMC42D 42 MANCOOLER BARR EL FAN 2/SPD,,EMC42D 42 MANCOOLER BARR,EL FAN 2/SPD,"60007 emc42d 42 mancooler barrel fan 2 spd 42"" 438881",438881,,b95d65c6-81a4-73a6-d314-d7e778b439d4,438881,"60007 emc42d 42 mancooler barrel fan 2 spd 42""",no,
7,AIR 71586,CA30APE 30 PEDESTAL FAN,,CA30APE 30 PEDESTAL FAN,,"71586 ca30ape 30 pedestal fan 30"" 945677",945677,,b95d65c6-81a4-73a6-d314-d7e7102e6ed4,945677,"71586 ca30ape 30 pedestal fan 30""",no,
8,AIR J-HOOK,(00080) FOR AIRMASTER MA RKII,,(00080) FOR AIRMASTER MA,RKII,j hook 00080 for airmaster ma rkii 519172,519172,,b95d65c6-81a4-73a6-d314-d7e75000b1d4,519172,j hook 00080 for airmaster ma rkii,no,
9,AIR LEG/WATER,FLUSHING 2.5X3.5 REFLECT IVE DECAL,,FLUSHING 2.5X3.5 REFLECT,IVE DECAL,leg water flushing 2.5x3.5 reflective decal 551253,551253,,b95d65c6-81a4-73a6-d314-11e8100335ae,551253,leg water flushing 2.5x3.5 reflective decal,no,
10,AIR NOZZLE,PRINTED VINYL DECAL 6X2,,PRINTED VINYL DECAL 6X2,,nozzle printed vinyl decal 6x2 145917,145917,,b95d65c6-81a4-73a6-d314-11e8c0ff5fae,145917,nozzle printed vinyl decal 6x2,no,
11,AIR SAFETY/CABLE,(00131) FOR AIRMASTER MA RKII,,(00131) FOR AIRMASTER MA,RKII,safety cable 00131 for airmaster ma rkii 519179,519179,,b95d65c6-81a4-73a6-d314-d7e7680cf1d4,519179,safety cable 00131 for airmaster ma rkii,no,
12,AIR TEST,PORTS STENCIL PAINT MASK 2-1/2X12,,PORTS STENCIL PAINT MASK,2-1/2X12,test ports stencil paint mask 2 1 2x12 152293,152293,,b95d65c6-81a4-73a6-d314-11e8c81290ae,152293,test ports stencil paint mask 2 1 2x12,no,
