extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,ALT 153-901,22MM 1-HOLE ENCLOSURE,,22MM 1-HOLE ENCLOSURE,,"153 901 22mm 1 hole enclosure enclos pb1 l, 94x94x81mm 869716",869716,,b95d65c6-81a4-73a6-d314-d7e778cecae2,869716,"153 901 22mm 1 hole enclosure enclos pb1 l, 94x94x81mm",no,
2,ALT 153-902,22MM POLY 2-HOLE P/B ENC LOSURE,,22MM POLY 2-HOLE P/B ENC,LOSURE,"153 902 22mm poly 2 hole p b enclosure losure pb2 l, 130x94x81mm enclosure 565681",565681,,b95d65c6-81a4-73a6-d314-d7e798d200e3,565681,"153 902 22mm poly 2 hole p b enclosure losure pb2 l, 130x94x81mm enclosure",no,
3,ALT 153-903,PB3L 180x94x81mm POLY EN CL LT GRAY,,PB3L 180x94x81mm POLY EN,CL LT GRAY,153 903 pb3l 180x94x81mm poly en cl lt light gray p pb3 l enclosure 60792,60792,,b95d65c6-81a4-73a6-d314-d7e7b07239e3,60792,153 903 pb3l 180x94x81mm poly en cl lt light gray p pb3 l enclosure,no,
4,ALT 153-904,PB4L 180x94x81mm POLY EN CL LT GRAY,,PB4L 180x94x81mm POLY EN,CL LT GRAY,"153 904 pb4l 180x94x81mm poly en cl lt light gray p pb4 l, enclosure 60794",60794,,b95d65c6-81a4-73a6-d314-d7e750d676e3,60794,"153 904 pb4l 180x94x81mm poly en cl lt light gray p pb4 l, enclosure",no,
5,ALT 1919E1/CM/S,CAMO WOMENS JERSEY PULLO VER,,CAMO WOMENS JERSEY PULLO,VER,1919e1 cm s camo womens jersey pullo ver 790112,790112,,b95d65c6-81a4-73a6-d314-fce7f827836d,790112,1919e1 cm s camo womens jersey pullo ver,no,
6,ALT 1928/EG/S,ECO GREY WOMENS PULLOVER HOOD T,,ECO GREY WOMENS PULLOVER,HOOD T,1928 eg s eco grey womens pullover hood t 97296,97296,,b95d65c6-81a4-73a6-d314-fce700b7af6d,97296,1928 eg s eco grey womens pullover hood t,no,
7,ALT 1988/EB-EI/XL,ECO BK/ECO IVORY WOM PP VNECK,,ECO BK/ECO IVORY WOM PP,VNECK,1988 eb ei xl eco bk ivory wom pp vneck 304403,304403,,b95d65c6-81a4-73a6-d314-fce7406ada6d,304403,1988 eb ei xl eco bk ivory wom pp vneck,no,
8,ALT 1990E1/EG-CM/S,ECO GREY & CAMO PULLOVER,,ECO GREY & CAMO PULLOVER,,1990e1 eg cm s eco grey & camo pullover 829290,829290,,b95d65c6-81a4-73a6-d314-fce790f4096e,829290,1990e1 eg cm s eco grey & camo pullover,no,
9,ALT 1D1UL,UL489 1 AMP BREAKER,,UL489 1 AMP BREAKER,,"1d1ul ul489 1 amp breaker 1d1ul, 1a, circuit 180645",180645,,b95d65c6-81a4-73a6-d314-d7e78871c1e3,180645,"1d1ul ul489 1 amp breaker 1d1ul, 1a, circuit",no,
10,ALT 1DU1,.,,.,,1du1 . 60796,60796,,b95d65c6-81a4-73a6-d314-d7e788c2f2e3,60796,1du1 .,no,
