extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,AMB 1096-N,1G 18 Cu. NEW WORK NAIL- ON BOX,,1G 18 Cu. NEW WORK NAIL-,ON BOX,1096 n 1g 18 cu. new work nail on box box single gang 18cu 718099,718099,,b95d65c6-81a4-73a6-d314-d8e7f8a54c0e,718099,1096 n 1g 18 cu. new work nail on box box single gang 18cu,no,
2,AMB 1096-Z4,1G 18 Cu. 1/2 OFFSET NAI L-ON BOX,,1G 18 Cu. 1/2 OFFSET NAI,L-ON BOX,"1096 z4 1g 18 cu. 1 2 offset nai l on box box 2"" off 718107",718107,,b95d65c6-81a4-73a6-d314-d8e780e47b0e,718107,"1096 z4 1g 18 cu. 1 2 offset nai l on box box 2"" off",no,
3,AMB 1098-N,1G 20.5 Cu. ANGLED NAIL- ON BOX,,1G 20.5 Cu. ANGLED NAIL-,ON BOX,1098 n 1g 20.5 cu. angled nail on box box single gang 20.5cu 718100,718100,,b95d65c6-81a4-73a6-d314-d8e7d881a90e,718100,1098 n 1g 20.5 cu. angled nail on box box single gang 20.5cu,no,
4,AMB 1098-Z2,1G 20.5 Cu. 1/4 OFFSET N AIL-ON BOX,,1G 20.5 Cu. 1/4 OFFSET N,AIL-ON BOX,"1098 z2 1g 20.5 cu. 1 4 offset nail on box box 4"" o single gang 20.5cu 450266",450266,,b95d65c6-81a4-73a6-d314-d8e7a0e5d70e,450266,"1098 z2 1g 20.5 cu. 1 4 offset nail on box box 4"" o single gang 20.5cu",no,
5,AMB 1098-Z4,1G 20.5 Cu. 1/2 OFFSET N AIL-ON BOX,,1G 20.5 Cu. 1/2 OFFSET N,AIL-ON BOX,"1098 z4 1g 20.5 cu. 1 2 offset nail on box box 2"" o single gang 20.5cu 450268",450268,,b95d65c6-81a4-73a6-d314-d8e7487e050f,450268,"1098 z4 1g 20.5 cu. 1 2 offset nail on box box 2"" o single gang 20.5cu",no,
6,AMB 1099-N,1G 22.5 Cu. ANGLED NAIL- ON BOX,,1G 22.5 Cu. ANGLED NAIL-,ON BOX,1099 n 1g 22.5 cu. angled nail on box box single gang 22.5cu. 718091,718091,,b95d65c6-81a4-73a6-d314-d8e7604f3a0f,718091,1099 n 1g 22.5 cu. angled nail on box box single gang 22.5cu.,no,
7,AMB 1099-Z4,1G 22.5 Cu. 1/2 OFFSET N AIL-ON BOX,,1G 22.5 Cu. 1/2 OFFSET N,AIL-ON BOX,"1099 z4 1g 22.5 cu. 1 2 offset nail on box box 2"" o single gang 22.5cu 617899",617899,,b95d65c6-81a4-73a6-d314-d8e7e8686b0f,617899,"1099 z4 1g 22.5 cu. 1 2 offset nail on box box 2"" o single gang 22.5cu",no,
8,AMB 1099=N,1G 22.5 Cu. ANGLE NAIL-O N *BAR CODE*,,1G 22.5 Cu. ANGLE NAIL-O,N *BAR CODE*,1099=n 1g 22.5 cu. angle nail o n *bar code* 851186,851186,,b95d65c6-81a4-73a6-d314-d8e7e848b30f,851186,1099=n 1g 22.5 cu. angle nail o n *bar code*,no,
9,AMB 2300-NK,2G 32.5 Cu. ANGLED NAIL- ON BX W/CLA,,2G 32.5 Cu. ANGLED NAIL-,ON BX W/CLA,2300 nk nickle 2g 32.5 cu. angled nail on box box w/ clamp cla two gang 32.5cu. 718092,718092,,b95d65c6-81a4-73a6-d314-d8e7f8f8e30f,718092,2300 nk nickle 2g 32.5 cu. angled nail on box box w/ clamp cla two gang 32.5cu.,no,
10,AMB 2300-Z2K,2G 32.5 Cu. 1/4 OFFSET N AIL-ON BO,,2G 32.5 Cu. 1/4 OFFSET N,AIL-ON BO,"2300 z2k 2g 32.5 cu. 1 4 offset nail on box 4"" two gang 32.5cu 450271",450271,,b95d65c6-81a4-73a6-d314-d8e7c8e91d10,450271,"2300 z2k 2g 32.5 cu. 1 4 offset nail on box 4"" two gang 32.5cu",no,
