extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,AMF CG100K,1 CORD GRIP KIT,,1 CORD GRIP KIT,,amf cg100k 1 cord grip kit 737739,737739,,b95d65c6-81a4-73a6-d314-d8e7a8e26427,737739,cg100k 1 cord grip kit,no,
2,AMF CG125K,1-1/4 CORD GRIP KIT,,1-1/4 CORD GRIP KIT,,amf cg125k 1 4 cord grip kit 737741,737741,,b95d65c6-81a4-73a6-d314-d8e7a0729b27,737741,cg125k 1 4 cord grip kit,no,
3,AMF CG150E1500,1-1/2 STEEL CORD GRIP 1. 38-1.50,,1-1/2 STEEL CORD GRIP 1.,38-1.50,amf cg150e1500 1 2 steel cord grip 1. 38 1.50 268965,268965,,b95d65c6-81a4-73a6-d314-d8e7301adc27,268965,cg150e1500 1 2 steel cord grip 1. 38 1.50,no,
4,AMF CG200K,2 CORD GRIP KIT,,2 CORD GRIP KIT,,amf cg200k 2 cord grip kit 737745,737745,,b95d65c6-81a4-73a6-d314-d8e7c0247d28,737745,cg200k 2 cord grip kit,no,
5,AMF CG50K,1/2 CORD GRIP KIT,,1/2 CORD GRIP KIT,,amf cg50k 1 2 cord grip kit 737735,737735,,b95d65c6-81a4-73a6-d314-d8e7a805b928,737735,cg50k 1 2 cord grip kit,no,
6,AMF CG75K,3/4 CORD GRIP KIT,,3/4 CORD GRIP KIT,,amf cg75k 3 4 cord grip kit 737738,737738,,b95d65c6-81a4-73a6-d314-d8e79864f628,737738,cg75k 3 4 cord grip kit,no,
7,AMF CHB25US,1-1/4E CONDUIT HANGER W/ BOLT,,1-1/4E CONDUIT HANGER W/,BOLT,amf chb25us 1 4e conduit hanger with bolt 876291,876291,,b95d65c6-81a4-73a6-d314-d8e7384e3f29,876291,chb25us 1 4e conduit hanger with bolt,no,
8,AMF CHB3US,1-1/4R CONDUIT HANGER W/ BOLT,,1-1/4R CONDUIT HANGER W/,BOLT,amf chb3us 1 4r conduit hanger with bolt 876296,876296,,b95d65c6-81a4-73a6-d314-d8e7507f7d29,876296,chb3us 1 4r conduit hanger with bolt,no,
9,AMF CSE1001,1IN STEEL STRAPS EMT 1 H OLE USA,,1IN STEEL STRAPS EMT 1 H,OLE USA,amf cse1001 1in steel straps emt 1 hole usa u.s.a 999974,999974,,b95d65c6-81a4-73a6-d314-d8e730b8be29,999974,cse1001 1in steel straps emt 1 hole usa u.s.a,no,
10,AMF CSE751,3/4IN STEEL STRAPS EMT 1 HOLE USA,,3/4IN STEEL STRAPS EMT 1,HOLE USA,amf cse751 3 4in steel straps emt 1 hole usa u.s.a 999973,999973,,b95d65c6-81a4-73a6-d314-d8e778b5142a,999973,cse751 3 4in steel straps emt 1 hole usa u.s.a,no,
