extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,AML 043A-PC6-WH,6FT POWER CORD WH F/PRIO RI,,6FT POWER CORD WH F/PRIO,RI,aml 043a pc6 white 6ft power cord f priori 135915,135915,,b95d65c6-81a4-73a6-d314-d8e7681d7148,135915,043a pc6 white 6ft power cord f priori,no,
2,AML 043X-1-WH,10 XENON UNDERCABINET LI GHT 120V,,10 XENON UNDERCABINET LI,GHT 120V,aml 043x 1 white 10 xenon undercabinet light 120v 128987,128987,,b95d65c6-81a4-73a6-d314-d8e720cead48,128987,043x 1 white 10 xenon undercabinet light 120v,no,
3,AML 043X-4-WH,32 XENON UNDERCABINET LI GHT 120V,,32 XENON UNDERCABINET LI,GHT 120V,aml 043x 4 white 32 xenon undercabinet light 120v 130345,130345,,b95d65c6-81a4-73a6-d314-d8e7a0e3ea48,130345,043x 4 white 32 xenon undercabinet light 120v,no,
4,AML 3LC2-16-WH,16 WHT LED3 COMPLETE,,16 WHT LED3 COMPLETE,,aml 3lc2 16 white wht led3 complete 523852,523852,,b95d65c6-81a4-73a6-d314-d8e7d8e1f949,523852,3lc2 16 white wht led3 complete,no,
5,AML 3LC2-24-WH,24LED UNDERCOUNTER LIGHT,,24LED UNDERCOUNTER LIGHT,,aml 3lc2 24 white 24led undercounter light 115342,115342,,b95d65c6-81a4-73a6-d314-d8e758142e4a,115342,3lc2 24 white 24led undercounter light,no,
6,AML 5LCS-10-5CCT-WH,UNDERCABINET,,UNDERCABINET,,aml 5lcs 10 5cct white undercabinet 907705,907705,,b95d65c6-81a4-73a6-d314-d8e760855f4a,907705,5lcs 10 5cct white undercabinet,no,
7,AML 5LCS-16-5CCT-WH,UNDERCABINET,,UNDERCABINET,,aml 5lcs 16 5cct white undercabinet 907709,907709,,b95d65c6-81a4-73a6-d314-d8e758268f4a,907709,5lcs 16 5cct white undercabinet,no,
8,AML 5LCS-24-5CCT-WH,UNDERCABINET,,UNDERCABINET,,aml 5lcs 24 5cct white undercabinet 907711,907711,,b95d65c6-81a4-73a6-d314-d8e73098bd4a,907711,5lcs 24 5cct white undercabinet,no,
9,AML 5LCS-EX12-WH,LINKING CABLE,,LINKING CABLE,,aml 5lcs ex12 white linking cable 907714,907714,,b95d65c6-81a4-73a6-d314-d8e7007bf14a,907714,5lcs ex12 white linking cable,no,
10,AML 5LCS-EX6-WH,LINKING CABLE,,LINKING CABLE,,aml 5lcs ex6 white linking cable 907712,907712,,b95d65c6-81a4-73a6-d314-d8e7287a294b,907712,5lcs ex6 white linking cable,no,
11,AML ADPT-DRJ-30-24,PHASE CUT DRIVER,,PHASE CUT DRIVER,,aml adpt adapter drj driver 30 24 phase cut 907727,907727,,b95d65c6-81a4-73a6-d314-d8e75009634b,907727,adpt adapter drj driver 30 24 phase cut,no,
12,AML ADPT-DRJ-60--24,PHASE CUT DRIVER,,PHASE CUT DRIVER,,aml adpt adapter drj driver 60 24 phase cut 907730,907730,,b95d65c6-81a4-73a6-d314-d8e7d858a44b,907730,adpt adapter drj driver 60 24 phase cut,no,
13,AML ADPT-DRJ-60-24/24VDC,-60W/DRIVER-JUNCTION,,-60W/DRIVER-JUNCTION,,aml adpt adapter drj driver 60 24 24vdc 60w junction 921026,921026,,b95d65c6-81a4-73a6-d314-d8e7f8d8d64b,921026,adpt adapter drj driver 60 24 24vdc 60w junction,no,
14,AML ADPT-DRJ-96-24,VOLTAGE DRIVER,,VOLTAGE DRIVER,,aml adpt adapter drj driver 96 24 voltage 907734,907734,,b95d65c6-81a4-73a6-d314-d8e7989e0c4c,907734,adpt adapter drj driver 96 24 voltage,no,
15,AML ALC,EX/2-WH 12 INTERCONNECT,,EX/2-WH 12 INTERCONNECT,,aml alc ex 2 white 12 interconnect 891484,891484,,b95d65c6-81a4-73a6-d314-d8e7a81b394c,891484,alc ex 2 white 12 interconnect,no,
16,AML ALC2-18-DB,18 DARK BRZ LED UNDERCAB LT,,18 DARK BRZ LED UNDERCAB,LT,aml alc2 18 db dark brz bronze led undercab lt light 70726,70726,,b95d65c6-81a4-73a6-d314-d8e74886794c,70726,alc2 18 db dark brz bronze led undercab lt light,no,
17,AML ALC2-18-WH,18 WHITE LED UNDERCAB LT,,18 WHITE LED UNDERCAB LT,,aml alc2 18 white led undercab lt light 750577,750577,,b95d65c6-81a4-73a6-d314-d8e7006bbe4c,750577,alc2 18 white led undercab lt light,no,
18,AML ALC2-24-WH,24 WHITE LED UNDERCAB LT,,24 WHITE LED UNDERCAB LT,,aml alc2 24 white led undercab lt light 870476,870476,,b95d65c6-81a4-73a6-d314-d8e758d8f34c,870476,alc2 24 white led undercab lt light,no,
19,AML ALC2-32-WH,32 WHITE LED UNDERCAB LT,,32 WHITE LED UNDERCAB LT,,aml alc2 32 white led undercab lt light 540488,540488,,b95d65c6-81a4-73a6-d314-d8e7283c384d,540488,alc2 32 white led undercab lt light,no,
20,AML ALC2-8-WH,8 WHITE LED UNDERCAB LIG HT,,8 WHITE LED UNDERCAB LIG,HT,aml alc2 8 white led undercab light 870363,870363,,b95d65c6-81a4-73a6-d314-d8e730b5704d,870363,alc2 8 white led undercab light,no,
21,AML ALFL12,12 CONNECTOR CORD,,12 CONNECTOR CORD,,aml alfl12 12 connector cord 918402,918402,,b95d65c6-81a4-73a6-d314-d8e7d029a74d,918402,alfl12 12 connector cord,no,
22,AML ALFL24,24 CONNECTOR CORD,,24 CONNECTOR CORD,,aml alfl24 24 connector cord 918404,918404,,b95d65c6-81a4-73a6-d314-d8e7d0c3e94d,918404,alfl24 24 connector cord,no,
23,AML ALLVPEX12WH,12 CONNECTOR CORD,,12 CONNECTOR CORD,,aml allvpex12wh 12 connector cord 190559,190559,,b95d65c6-81a4-73a6-d314-d8e7786b214e,190559,allvpex12wh 12 connector cord,no,
24,AML ALLVPEX24WH,24 CONNECTOR CORD,,24 CONNECTOR CORD,,aml allvpex24wh 24 connector cord 190561,190561,,b95d65c6-81a4-73a6-d314-d8e7b020574e,190561,allvpex24wh 24 connector cord,no,
25,AML ALSLBOX-WH-B,SLIM HARDWARE BOX,,SLIM HARDWARE BOX,,aml alslbox white b slim hardware box 907724,907724,,b95d65c6-81a4-73a6-d314-d8e7c8428b4e,907724,alslbox white b slim hardware box,no,
26,AML HTL-COB-WW-16,TAPE LIGHT,,TAPE LIGHT,,aml htl high output trulux tape light cob ww 16 907728,907728,,b95d65c6-81a4-73a6-d314-d8e73821d34e,907728,htl high output trulux tape light cob ww 16,no,
27,AML MLINK-120-30-12,LED LIGHT BAR,,LED LIGHT BAR,,aml mlink 120 30 12 led light bar 907718,907718,,b95d65c6-81a4-73a6-d314-d8e748a6064f,907718,mlink 120 30 12 led light bar,no,
28,AML MLINK-120-30-24,LED LIGHT BAR,,LED LIGHT BAR,,aml mlink 120 30 24 led light bar 907719,907719,,b95d65c6-81a4-73a6-d314-d8e788bb424f,907719,mlink 120 30 24 led light bar,no,
29,AML MLINK-120-30-6,LED LIGHT BAR,,LED LIGHT BAR,,aml mlink 120 30 6 led light bar 907717,907717,,b95d65c6-81a4-73a6-d314-d8e790ce724f,907717,mlink 120 30 6 led light bar,no,
30,AML MLINK-120-CONKITJ,POWER CONNECTOR,,POWER CONNECTOR,,aml mlink 120 conkitj power connector 907723,907723,,b95d65c6-81a4-73a6-d314-d8e75884a44f,907723,mlink 120 conkitj power connector,no,
31,AML MLINK-120-JUMP12,LINKING CABLE,,LINKING CABLE,,aml mlink 120 jump12 linking cable 907722,907722,,b95d65c6-81a4-73a6-d314-d8e78802e24f,907722,mlink 120 jump12 linking cable,no,
32,AML MLINK-120-JUMP6,LINKING CABLE,,LINKING CABLE,,aml mlink 120 jump6 linking cable 907721,907721,,b95d65c6-81a4-73a6-d314-d8e738d71b50,907721,mlink 120 jump6 linking cable,no,
33,AML MLINK-120-SPLICE,CONNECTOR,,CONNECTOR,,aml mlink 120 splice connector 907720,907720,,b95d65c6-81a4-73a6-d314-d8e7108a6d50,907720,mlink 120 splice connector,no,
34,AML MLINK-24-RGBTW-12/MI,CROLINK/RGBTW 12,,CROLINK/RGBTW 12,,aml mlink 24 rgbtw 12 microlink crolink 921023,921023,,b95d65c6-81a4-73a6-d314-d8e710a5c050,921023,mlink 24 rgbtw 12 microlink crolink,no,
35,AML MLINK-24-RGBTW-36/MI,CROLINK 36,,CROLINK 36,,aml mlink 24 rgbtw 36 microlink crolink 921020,921020,,b95d65c6-81a4-73a6-d314-d8e7b801f850,921020,mlink 24 rgbtw 36 microlink crolink,no,
36,AML OMNISL-3CCT,PUCK LIGHT,,PUCK LIGHT,,aml omnisl 3cct puck light 907725,907725,,b95d65c6-81a4-73a6-d314-d8e7f0983251,907725,omnisl 3cct puck light,no,
37,AML PE-AA1-1M,AML PE-AA1-1M EXTRUSION,,AML PE-AA1-1M EXTRUSION,,aml pe aa1 1m extrusion,,,87482594-19ed-c18e-de14-6df5887a008e,,pe aa1 1m extrusion,no,
38,AML PE-UNV-2M-BNDL5,EXTRUSTION [1 = 1 PIECE 5 PER PACK],,EXTRUSTION [1 = 1 PIECE,5 PER PACK],aml pe unv 2m bndl5 extrustion [1 = 1 piece 5 per pack] 907739,907739,,b95d65c6-81a4-73a6-d314-d8e7683a7d51,907739,pe unv 2m bndl5 extrustion [1 = 1 piece 5 per pack],no,
39,AML PE-UVLENS-1M,AML PE-UVLENS-1M LENS FOR PE-AA1-1M,,AML PE-UVLENS-1M LENS,FOR PE-AA1-1M,aml pe uvlens 1m lens for aa1,,,87482594-19ed-c18e-de14-45f588c73160,,pe uvlens 1m lens for aa1,no,
40,AML SPKPL-CTRL-W-RGBT-W,5 IN 1 REMOTE MODULE,,5 IN 1 REMOTE MODULE,,"aml spkpl control ctrl w rgbt 5 "" (inch) 1 remote module 907747",907747,,b95d65c6-81a4-73a6-d314-d8e728bfb551,907747,"spkpl control ctrl w rgbt 5 "" (inch) 1 remote module",no,
41,AML SPKPL-LDS-RGBTW-3KIT,#NAME?,,#NAME?,,aml spkpl lds rgbtw 3kit #name? 907744,907744,,b95d65c6-81a4-73a6-d314-d8e7a0f8ef51,907744,spkpl lds rgbtw 3kit #name?,no,
42,AML SPKPL-REC-TB-5CH,MESH MODULE,,MESH MODULE,,aml spkpl rec tb 5ch mesh module 907749,907749,,b95d65c6-81a4-73a6-d314-d8e730bc2352,907749,spkpl rec tb 5ch mesh module,no,
