extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,APP 170,1/2 FRM 7 STAMP STEEL CO VER,,1/2 FRM 7 STAMP STEEL CO,VER,170 1 2 frm 7 stamp steel cover 18222 stl fm7 assy,18222,,b95d65c6-81a4-73a6-d314-d8e7b88072bb,18222,170 1 2 frm 7 stamp steel cover stl fm7 assy,no,
2,APP 270,3/4 FRM 7 STAMP STEEL CO VER,,3/4 FRM 7 STAMP STEEL CO,VER,270 3 4 frm 7 stamp steel cover 18223 stl fm7 assy,18223,,b95d65c6-81a4-73a6-d314-d8e728b6b8bb,18223,270 3 4 frm 7 stamp steel cover stl fm7 assy,no,
3,APP 270FIG,(COVER WITH GASKET),,(COVER WITH GASKET),,270fig cover with gasket 61049,61049,,b95d65c6-81a4-73a6-d314-f5e700ba0f71,61049,270fig cover with gasket,no,
4,APP 370,1 FRM 7 STAMP STEEL COVE R,,1 FRM 7 STAMP STEEL COVE,R,370 1 frm 7 stamp steel cover 18224 co stl fm7 assy,18224,,b95d65c6-81a4-73a6-d314-d8e7c8bee7bb,18224,370 1 frm 7 stamp steel cover co stl fm7 assy,no,
5,APP 370FIG,(COVER WITH GASKET),,(COVER WITH GASKET),,370fig cover with gasket 61050,61050,,b95d65c6-81a4-73a6-d314-f5e770494771,61050,370fig cover with gasket,no,
6,APP 470,1-1/4 FRM 7 STAMP STEEL COVER,,1-1/4 FRM 7 STAMP STEEL,COVER,470 1 4 frm 7 stamp steel cover 18225 stee stl fm7 assy,18225,,b95d65c6-81a4-73a6-d314-d8e780a912bc,18225,470 1 4 frm 7 stamp steel cover stee stl fm7 assy,no,
7,APP 570,1-1/2 FRM 7 STAMP STEEL COVER,,1-1/2 FRM 7 STAMP STEEL,COVER,570 1 2 frm 7 stamp steel cover 18226 stee stl fm7 assy,18226,,b95d65c6-81a4-73a6-d314-d8e7286243bc,18226,570 1 2 frm 7 stamp steel cover stee stl fm7 assy,no,
8,APP 570FIG,(COVER WITH GASKET),,(COVER WITH GASKET),,570fig cover with gasket 61060,61060,,b95d65c6-81a4-73a6-d314-f5e740d08171,61060,570fig cover with gasket,no,
9,APP 670,2 FRM 7 STAMP STEEL COVE R,,2 FRM 7 STAMP STEEL COVE,R,670 2 frm 7 stamp steel cover 18227 co stl fm7 assembly,18227,,b95d65c6-81a4-73a6-d314-d8e7b8b181bc,18227,670 2 frm 7 stamp steel cover co stl fm7 assembly,no,
10,APP 670FIG,(COVER WITH GASKET),,(COVER WITH GASKET),,670fig cover with gasket 61063,61063,,b95d65c6-81a4-73a6-d314-f5e7c0beb871,61063,670fig cover with gasket,no,
11,APP 870,2-1/2-3 FRM 7 STAMP STEE L COVER,,2-1/2-3 FRM 7 STAMP STEE,L COVER,870 2 1 3 frm 7 stamp stee l cover 341537 st stl fm7 assy,341537,,b95d65c6-81a4-73a6-d314-d8e77805bebc,341537,870 2 1 3 frm 7 stamp stee l cover st stl fm7 assy,no,
12,APP 970,4 FRM 7 STAMP STEEL COVE R,,4 FRM 7 STAMP STEEL COVE,R,970 4 frm 7 stamp steel cover 341538 co 3 1 2 stl fm7 assembly,341538,,b95d65c6-81a4-73a6-d314-d8e7b8e6f1bc,341538,970 4 frm 7 stamp steel cover co 3 1 2 stl fm7 assembly,no,
13,APP AC1A,KWIKO A SEALING CEMENT 16 OZ,,KWIKO A SEALING CEMENT,16 OZ,ac1a kwiko a sealing cement 16 oz 74690 oz.,74690,,b95d65c6-81a4-73a6-d314-d8e750dd26bd,74690,ac1a kwiko a sealing cement 16 oz oz.,no,
14,APP ACK6F-A,TWINPAK SEALING CEMENT K IT,,TWINPAK SEALING CEMENT K,IT,ack6f a twinpak sealing cement k it 345618 ce 5 x kwiko water twinpaks 3 1 4 oz,345618,,b95d65c6-81a4-73a6-d314-d8e720fe71bd,345618,ack6f a twinpak sealing cement k it ce 5 x kwiko water twinpaks 3 1 4 oz,no,
15,APP ACP1022CDP4,100A CLAMP RNG PLG 2W2P ST1 P4,,100A CLAMP RNG PLG 2W2P,ST1 P4,acp1022cdp4 100a clamp rng plg 2w2p st1 p4 452838 plug,452838,,b95d65c6-81a4-73a6-d314-d8e73035b2bd,452838,acp1022cdp4 100a clamp rng plg 2w2p st1 p4 plug,no,
16,APP ACP1033CD,100A CLAMP RING PLUG 3W3P ST1,,100A CLAMP RING PLUG,3W3P ST1,acp1033cd 100a clamp ring plug 3w3p st1 855851,855851,,b95d65c6-81a4-73a6-d314-d8e7e87ee2bd,855851,acp1033cd 100a clamp ring plug 3w3p st1,no,
17,APP ACP1033CDP4,POWERTITE 100A PLUG ASSY S1 P4,,POWERTITE 100A PLUG,ASSY S1 P4,acp1033cdp4 powertite 100a plug assy s1 p4 452839 3w3p,452839,,b95d65c6-81a4-73a6-d314-d8e7f89e11be,452839,acp1033cdp4 powertite 100a plug assy s1 p4 3w3p,no,
18,APP ACP1034CD,100A CLAMP RING PLUG 3W4P ST2,,100A CLAMP RING PLUG,3W4P ST2,acp1034cd 100a clamp ring plug 3w4p st2 787891,787891,,b95d65c6-81a4-73a6-d314-d8e7e04b45be,787891,acp1034cd 100a clamp ring plug 3w4p st2,no,
19,APP ACP1044CD,100A CLAMP RING PLUG 4W4P ST1,,100A CLAMP RING PLUG,4W4P ST1,acp1044cd 100a clamp ring plug 4w4p st1 796406,796406,,b95d65c6-81a4-73a6-d314-d8e7805578be,796406,acp1044cd 100a clamp ring plug 4w4p st1,no,
20,APP ACP3034BC,30AMP PLUG 3W-4P STYLE,,30AMP PLUG 3W-4P STYLE,,acp3034bc 30amp plug 3w 4p style 558596 30a 3w4p,558596,,b95d65c6-81a4-73a6-d314-d8e75025abbe,558596,acp3034bc 30amp plug 3w 4p style 30a 3w4p,no,
21,APP ACP6023BC,60A CLAMP RING PLUG 2W3P ST2,,60A CLAMP RING PLUG,2W3P ST2,acp6023bc 60a clamp ring plug 2w3p st2 974826 2p3w pin & s,974826,,b95d65c6-81a4-73a6-d314-d8e738b0b4bf,974826,acp6023bc 60a clamp ring plug 2w3p st2 2p3w pin & s,no,
22,APP ACP6033BC,60A PLUG ASSY 3W3P S1,,60A PLUG ASSY 3W3P S1,,acp6033bc 60a plug assy 3w3p s1 817656,817656,,b95d65c6-81a4-73a6-d314-d8e7d8e4e4bf,817656,acp6033bc 60a plug assy 3w3p s1,no,
23,APP ACP6034BC,60 PLUG ASSY,,60 PLUG ASSY,,acp6034bc 60 plug assy 91435 60a 3w4p,91435,,b95d65c6-81a4-73a6-d314-d8e7b03714c0,91435,acp6034bc 60 plug assy 60a 3w4p,no,
24,APP ACP6044BC,60A CLAMP RING PLUG 4W4P ST1,,60A CLAMP RING PLUG,4W4P ST1,acp6044bc 60a clamp ring plug 4w4p st1 922573,922573,,b95d65c6-81a4-73a6-d314-d8e7a08454c0,922573,acp6044bc 60a clamp ring plug 4w4p st1,no,
25,APP ADR1022P4,100A RECEPT ASSY 2W2P S1 P4,,100A RECEPT ASSY 2W2P,S1 P4,adr1022p4 100a recept assy 2w2p s1 p4 450355,450355,,b95d65c6-81a4-73a6-d314-d8e790d487c0,450355,adr1022p4 100a recept assy 2w2p s1 p4,no,
26,APP ADR1033P4,100A RECEPT ASSY 3W3P S1 P4,,100A RECEPT ASSY 3W3P,S1 P4,adr1033p4 100a recept assy 3w3p s1 p4 450356,450356,,b95d65c6-81a4-73a6-d314-d8e7705fccc0,450356,adr1033p4 100a recept assy 3w3p s1 p4,no,
27,APP ADR1034,100A RECPT 4PS2 SCRSPRG CVRS,,100A RECPT 4PS2 SCRSPRG,CVRS,adr1034 100a recpt 4ps2 scrsprg cvrs 398900 3w4p receptac scr sprg,398900,,b95d65c6-81a4-73a6-d314-d8e7985017c1,398900,adr1034 100a recpt 4ps2 scrsprg cvrs 3w4p receptac scr sprg,no,
