extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,FRZ 08570,SAFETY COVER KIT PDB,,SAFETY COVER KIT PDB,,08570 safety cover kit pdb 8570 346449,346449,,b95d65c6-81a4-73a6-d314-e7e7100abf10,346449,08570 safety cover kit pdb 8570,no,
2,FRZ 20306R,1P/30A 250V FUSE BLOCK L UG TERM,,1P/30A 250V FUSE BLOCK L,UG TERM,20306r 1p 30a 250v fuse block lug term bl 351153,351153,,b95d65c6-81a4-73a6-d314-e7e79802e910,351153,20306r 1p 30a 250v fuse block lug term bl,no,
3,FRZ 20307R,2P/30A 250V FUSE BLOCK L UG TERM,,2P/30A 250V FUSE BLOCK L,UG TERM,20307r 2p 30a 250v fuse block lug term bl 351154,351154,,b95d65c6-81a4-73a6-d314-e7e7301c1411,351154,20307r 2p 30a 250v fuse block lug term bl,no,
4,FRZ 20308R,3P/30A 250V FUSE BLOCK L UG TERM,,3P/30A 250V FUSE BLOCK L,UG TERM,20308r 3p 30a 250v fuse block lug term bl 351156,351156,,b95d65c6-81a4-73a6-d314-e7e7a0194211,351156,20308r 3p 30a 250v fuse block lug term bl,no,
5,FRZ 20326,1P/30A 250V FUSE BLOCK L UG TERM,,1P/30A 250V FUSE BLOCK L,UG TERM,20326 1p 30a 250v fuse block lug term blo 471276,471276,,b95d65c6-81a4-73a6-d314-e7e7486d6e11,471276,20326 1p 30a 250v fuse block lug term blo,no,
6,FRZ 20606R,1P/60A 250V FUSE BLOCK L UG TERM,,1P/60A 250V FUSE BLOCK L,UG TERM,20606r 1p 60a 250v fuse block lug term bl 351157,351157,,b95d65c6-81a4-73a6-d314-e7e768819911,351157,20606r 1p 60a 250v fuse block lug term bl,no,
7,FRZ 20607R,2P/60A 250V FUSE BLOCK L UG TERM,,2P/60A 250V FUSE BLOCK L,UG TERM,20607r 2p 60a 250v fuse block lug term bl 351158,351158,,b95d65c6-81a4-73a6-d314-e7e7887dc811,351158,20607r 2p 60a 250v fuse block lug term bl,no,
8,FRZ 20608R,3P/60A 250V FUSE BLOCK L UG TERM,,3P/60A 250V FUSE BLOCK L,UG TERM,20608r 3p 60a 250v fuse block lug term bl 351159,351159,,b95d65c6-81a4-73a6-d314-e7e76827f311,351159,20608r 3p 60a 250v fuse block lug term bl,no,
9,FRZ 21036R,1P/100A 250V FUSE BLOCK LUG TERM,,1P/100A 250V FUSE BLOCK,LUG TERM,21036r 1p 100a 250v fuse block lug term b 351161,351161,,b95d65c6-81a4-73a6-d314-e7e7b8fb1e12,351161,21036r 1p 100a 250v fuse block lug term b,no,
10,FRZ 21037R,2P/100A 250V FUSE BLOCK LUG TERM,,2P/100A 250V FUSE BLOCK,LUG TERM,21037r 2p 100a 250v fuse block lug term b 351163,351163,,b95d65c6-81a4-73a6-d314-e7e758864912,351163,21037r 2p 100a 250v fuse block lug term b,no,
11,FRZ 21038R,3P/100A 250V FUSE BLOCK LUG TERM,,3P/100A 250V FUSE BLOCK,LUG TERM,21038r 3p 100a 250v fuse block lug term b 686213,686213,,b95d65c6-81a4-73a6-d314-e7e7a89a7b12,686213,21038r 3p 100a 250v fuse block lug term b,no,
12,FRZ 22001R,1P/200A 250V FUSE BLOCK LUG TERM,,1P/200A 250V FUSE BLOCK,LUG TERM,22001r 1p 200a 250v fuse block lug term b 351166,351166,,b95d65c6-81a4-73a6-d314-e7e7b067a612,351166,22001r 1p 200a 250v fuse block lug term b,no,
13,FRZ 22003R,3P/200A 250V FUSE BLOCK LUG TERM,,3P/200A 250V FUSE BLOCK,LUG TERM,22003r 3p 200a 250v fuse block lug term b 351167,351167,,b95d65c6-81a4-73a6-d314-e7e7200ed612,351167,22003r 3p 200a 250v fuse block lug term b,no,
14,FRZ 30311,1P/30A 600V MIDGET FUSE BLOCK,,1P/30A 600V MIDGET FUSE,BLOCK,30311 1p 30a 600v midget fuse block f 780022,780022,,b95d65c6-81a4-73a6-d314-e7e79881fe12,780022,30311 1p 30a 600v midget fuse block f,no,
15,FRZ 30311R,1P/30A 600V CLASS CC FUS E BLOCK,,1P/30A 600V CLASS CC FUS,E BLOCK,30311r 1p 30a 600v class cc fuse block c 351150,351150,,b95d65c6-81a4-73a6-d314-e7e7b8b52c13,351150,30311r 1p 30a 600v class cc fuse block c,no,
16,FRZ 30312,2P/30A 600V MIDGET FUSE BLOCK,,2P/30A 600V MIDGET FUSE,BLOCK,30312 2p 30a 600v midget fuse block f 780024,780024,,b95d65c6-81a4-73a6-d314-e7e700d55b13,780024,30312 2p 30a 600v midget fuse block f,no,
17,FRZ 30312R,2P/30A 600V CLASS CC FUS E BLOCK,,2P/30A 600V CLASS CC FUS,E BLOCK,30312r 2p 30a 600v class cc fuse block c 351151,351151,,b95d65c6-81a4-73a6-d314-e7e7d8809113,351151,30312r 2p 30a 600v class cc fuse block c,no,
18,FRZ 30313,3P/30A 600V MIDGET FUSE BLOCK,,3P/30A 600V MIDGET FUSE,BLOCK,30313 3p 30a 600v midget fuse block f 780025,780025,,b95d65c6-81a4-73a6-d314-e7e79854c113,780025,30313 3p 30a 600v midget fuse block f,no,
19,FRZ 30313R,3P/30A 600V CLASS CC FUS E BLOCK,,3P/30A 600V CLASS CC FUS,E BLOCK,30313r 3p 30a 600v class cc fuse block c 351152,351152,,b95d65c6-81a4-73a6-d314-e7e7d856fc13,351152,30313r 3p 30a 600v class cc fuse block c,no,
20,FRZ 30321R,1P/30A 600V CLASS CC FUS E BLOCK,,1P/30A 600V CLASS CC FUS,E BLOCK,30321r 1p 30a 600v class cc fuse block c 443481,443481,,b95d65c6-81a4-73a6-d314-e7e7e8ab3714,443481,30321r 1p 30a 600v class cc fuse block c,no,
