extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,GE 15D21G003,230-240VAC COIL SZ00/0/1,,230-240VAC COIL SZ00/0/1,,15d21g003 230 240vac coil sz00 0 1 688250,688250,,b95d65c6-81a4-73a6-d314-e8e7a8fd3f71,688250,15d21g003 230 240vac coil sz00 0 1,no,
2,GE 15D21G004,460-480VAC COIL SZ00/0/1,,460-480VAC COIL SZ00/0/1,,15d21g004 460 480vac coil sz00 0 1 688254,688254,,b95d65c6-81a4-73a6-d314-e8e7303e7771,688254,15d21g004 460 480vac coil sz00 0 1,no,
3,GE 15D21G013,265-277V COIL SZ00/0/1,,265-277V COIL SZ00/0/1,,15d21g013 265 277v coil sz00 0 1 688252,688252,,b95d65c6-81a4-73a6-d314-e8e7b83ea871,688252,15d21g013 265 277v coil sz00 0 1,no,
4,GE 15D21G023,200-208VAC COIL SZ00/0/1,,200-208VAC COIL SZ00/0/1,,15d21g023 200 208vac coil sz00 0 1 688249,688249,,b95d65c6-81a4-73a6-d314-e8e718deda71,688249,15d21g023 200 208vac coil sz00 0 1,no,
5,GE 15D21G024,24VAC COIL SZ00/0/1,,24VAC COIL SZ00/0/1,,15d21g024 24vac coil sz00 0 1 688247,688247,,b95d65c6-81a4-73a6-d314-e8e7f8430872,688247,15d21g024 24vac coil sz00 0 1,no,
6,GE 15D22G003,230-240V COIL SZ2,,230-240V COIL SZ2,,15d22g003 230 240v coil sz2 688259,688259,,b95d65c6-81a4-73a6-d314-e8e7f8363872,688259,15d22g003 230 240v coil sz2,no,
7,GE 15D22G004,460-480VAC COIL SZ2,,460-480VAC COIL SZ2,,15d22g004 460 480vac coil sz2 694819,694819,,b95d65c6-81a4-73a6-d314-e8e7e84c6472,694819,15d22g004 460 480vac coil sz2,no,
8,GE 15D22G013,265-277VAC SZ2 COIL,,265-277VAC SZ2 COIL,,15d22g013 265 277vac sz2 coil 694813,694813,,b95d65c6-81a4-73a6-d314-e8e7b0a59872,694813,15d22g013 265 277vac sz2 coil,no,
9,GE 15D22G023,200-208V COIL SZ2,,200-208V COIL SZ2,,15d22g023 200 208v coil sz2 688257,688257,,b95d65c6-81a4-73a6-d314-e8e7383cca72,688257,15d22g023 200 208v coil sz2,no,
10,GE 15D22G024,24VAC COIL SZ2,,24VAC COIL SZ2,,15d22g024 24vac coil sz2 688255,688255,,b95d65c6-81a4-73a6-d314-e8e7d80dfe72,688255,15d22g024 24vac coil sz2,no,
