extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
1,LEV 100-06683I,3WAY ROTARY PUSH DIMMER 600W IV,,3WAY ROTARY PUSH DIMMER,600W IV,100 06683i 3way rotary push dimmer 600w iv 934642,934642,,b95d65c6-81a4-73a6-d314-f7e7382d2c07,934642,100 06683i 3way rotary push dimmer 600w iv,no,
2,LEV 10065,PORC KEYLESS SOCKET W-1/ 8 CAP 660W,,PORC KEYLESS SOCKET W-1/,8 CAP 660W,"10065 porc keyless socket w 1 8 cap 660w white gz lamph 8""+ ring 660w250v 252165",252165,,b95d65c6-81a4-73a6-d314-f6e7f0461782,252165,"10065 porc keyless socket w 1 8 cap 660w white gz lamph 8""+ ring 660w250v",no,
3,LEV 10083-16,SP TURN KNOB LAMP SOCKET BRASS (10083-16-001)(SA,,SP TURN KNOB LAMP SOCKET,BRASS (10083-16-001)(SA,10083 16 sp turn knob lamp socket brass 001 sa ime pg pb1 10 100 252122,252122,,b95d65c6-81a4-73a6-d314-f6e7c0a45c82,252122,10083 16 sp turn knob lamp socket brass 001 sa ime pg pb1 10 100,no,
4,LEV 10083-M,SP LAMP SOCKET TURN KNOB INTERIOR,,SP LAMP SOCKET TURN KNOB,INTERIOR,10083 m sp lamp socket turn knob interior tur only pkd 254644,254644,,b95d65c6-81a4-73a6-d314-f6e74065a382,254644,10083 m sp lamp socket turn knob interior tur only pkd,no,
5,LEV 10085,MED BASE PORC KEYLESS SO CKET 660W,,MED BASE PORC KEYLESS SO,CKET 660W,"10085 med base porc keyless socket 660w keyles white gz porclmph alss 18ga xlp 9"" 660w250v 338898",338898,,b95d65c6-81a4-73a6-d314-f6e7b81eea82,338898,"10085 med base porc keyless socket 660w keyles white gz porclmph alss 18ga xlp 9"" 660w250v",no,
6,LEV 11001-P,1000W ROCKER SW/DIMMER W /LED BR,,1000W ROCKER SW/DIMMER W,/LED BR,11001 p 1000w rocker sw dimmer w led brown 521488,521488,,b95d65c6-81a4-73a6-d314-f7e780106507,521488,11001 p 1000w rocker sw dimmer w led brown,no,
7,LEV 113,2P3W 15A CORD PLUG VINYL RUBBER BLK,,2P3W 15A CORD PLUG VINYL,RUBBER BLK,113 2p3w 15a cord plug vinyl rubber blk vin pl3 eb cp0 10 100. 363414,363414,,b95d65c6-81a4-73a6-d314-f6e768103483,363414,113 2p3w 15a cord plug vinyl rubber blk vin pl3 eb cp0 10 100.,no,
8,LEV 1221-2E,20A SP TOG SW 120/277V B K,,20A SP TOG SW 120/277V B,K,1221 2e 20a sp tog sw 120 277v b k eb tgl 20a120 277vac 713730,713730,,b95d65c6-81a4-73a6-d314-f6e718657a83,713730,1221 2e 20a sp tog sw 120 277v b k eb tgl 20a120 277vac,no,
9,LEV 1223-2E,20A 3WAY TOG SW 120/277V BK,,20A 3WAY TOG SW 120/277V,BK,1223 2e 20a 3way tog sw 120 277v black 12 eb tgl industrial 3w 713731,713731,,b95d65c6-81a4-73a6-d314-f6e768ecb683,713731,1223 2e 20a 3way tog sw 120 277v black 12 eb tgl industrial 3w,no,
10,LEV 1228,2P3W 15A DUPLEX RECEPT O N 4 PLATE,,2P3W 15A DUPLEX RECEPT O,N 4 PLATE,1228 2p3w 15a duplex recept o n 4 plate recep on cover 252152,252152,,b95d65c6-81a4-73a6-d314-f6e71012f383,252152,1228 2p3w 15a duplex recept o n 4 plate recep on cover,no,
